Simulation,Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise,PWRank
2,Connecticut,15,19,2,8,8,1,7,11,1,0,0,0,0.4444444444444444,0.44886363636363635,0.4982411129711826,0.5039868800457039,0.502378065264838,0.48899945803953754,25,35
2,Massachusetts,17,20,2,11,8,0,6,12,2,0,0,0,0.46153846153846156,0.4623655913978494,0.5029670654049586,0.49545139310212727,0.49755578134692013,0.4887582338596524,25,36
2,Colgate,17,18,6,11,7,2,6,11,4,0,0,0,0.4878048780487805,0.48979591836734687,0.4582015808490812,0.4977231560681017,0.486657115006776,0.4874418158469187,23,37
2,Yale,15,15,1,9,7,1,5,7,0,1,1,0,0.5,0.48344370860927144,0.46170803226511026,0.4933678397686438,0.4845030936676543,0.48423824740305865,21,38
2,Dartmouth,16,17,2,10,7,1,6,10,1,0,0,0,0.4857142857142857,0.4821428571428571,0.46890532090755516,0.4948712758750376,0.4876008084841425,0.48623632064882116,20,39
2,Army,15,15,6,6,8,4,9,7,2,0,0,0,0.5,0.5000000000000001,0.47117765460251415,0.48053218210211796,0.47791291440222894,0.4834346858016717,19,40
2,Massachusetts-Lowell,17,19,0,10,8,0,6,10,0,1,1,0,0.4722222222222222,0.4655172413793104,0.458749037082882,0.5010354352583523,0.4891952437692206,0.48327574317174304,18,41
2,Merrimack,12,22,4,6,8,2,6,14,2,0,0,0,0.3684210526315789,0.3804347826086956,0.5188738505874056,0.5014650553493964,0.506339518016039,0.4748633341642032,18,42
2,Robert Morris,18,20,3,8,8,3,8,10,0,2,2,0,0.47560975609756095,0.4729064039408867,0.4921299781032467,0.47897402979184006,0.4826576953190339,0.48021987247449716,17,43
2,American International,15,20,4,9,7,1,6,13,3,0,0,0,0.4358974358974359,0.44623655913978494,0.4807184143116485,0.4798475301466832,0.48009137771287347,0.4716276730696014,16,44
2,Bentley,13,18,6,6,7,2,7,11,4,0,0,0,0.43243243243243246,0.4505494505494506,0.47088685053784207,0.4803379673618975,0.47769165465116203,0.47090610362573415,16,45
2,Holy Cross,13,16,7,8,6,5,5,10,2,0,0,0,0.4583333333333333,0.45086705202312144,0.45443120341637727,0.4822807123582901,0.4744828498545545,0.46857890039669625,16,46
2,RIT,15,20,2,6,13,1,9,7,1,0,0,0,0.43243243243243246,0.42783505154639173,0.48822496738159343,0.47779448071271496,0.48071501698000096,0.46749502562159867,14,47
2,Vermont,10,18,7,3,10,4,7,8,3,0,0,0,0.38571428571428573,0.39226519337016574,0.47645565004102663,0.4961231768012468,0.49061626930838514,0.4660285003238303,12,48
2,Sacred Heart,13,22,4,3,10,3,9,12,1,1,0,0,0.38461538461538464,0.4020100502512563,0.48933099418255466,0.4780907549151114,0.4812380219099955,0.46143102899531074,11,49
2,Alabama-Huntsville,12,23,2,6,7,1,6,16,1,0,0,0,0.35135135135135137,0.36931818181818177,0.5117619255110438,0.47737520644144366,0.4870034877809316,0.45758216129024426,10,50
2,Ferris State,13,22,1,9,7,0,4,15,1,0,0,0,0.375,0.37724550898203596,0.47546404300473566,0.4816701465897646,0.4799324375859565,0.4542607054349764,9,51
2,New Hampshire,10,20,6,6,10,2,4,9,4,0,1,0,0.3611111111111111,0.3575418994413409,0.4797328741012584,0.48853174841073116,0.4860680636040788,0.45393652256339434,8,52
2,Arizona State,8,21,5,4,9,1,2,10,4,2,2,0,0.3088235294117647,0.31137724550898205,0.5046105553840093,0.4980393674476433,0.49987930006982584,0.45275378642961484,7,53
2,Niagara,11,22,3,5,9,2,6,13,1,0,0,0,0.3472222222222222,0.3559322033898305,0.4859872737645669,0.47851708441808216,0.4806087374350979,0.4494396039237811,6,54
2,Lake Superior,10,22,4,4,10,1,5,11,3,1,1,0,0.3333333333333333,0.34444444444444444,0.4624663743484772,0.48489606395656826,0.47861575086630276,0.4450729242608382,5,55
2,Brown,8,21,4,5,9,1,3,12,3,0,0,0,0.30303030303030304,0.30624999999999997,0.49600247251703483,0.4889653103127943,0.4909357157299816,0.44476428679748625,4,56
2,Alaska,11,22,3,7,9,1,4,13,2,0,0,0,0.3472222222222222,0.3468208092485549,0.4564342703401008,0.47884650851489796,0.4725710818259548,0.4411335136816048,3,57
2,Rensselaer,6,27,4,3,12,1,3,12,3,0,3,0,0.21621621621621623,0.2216216216216216,0.5122624786252071,0.4875492804401345,0.4944689759319548,0.42625713735437154,2,58
