Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
220,20172018,Arizona State,Win,3,Home,Alabama-Huntsville,2
220,20172018,Alabama-Huntsville,Loss,2,Away,Arizona State,3
221,20172018,Penn State,Loss,4,Home,Mercyhurst,7
221,20172018,Mercyhurst,Win,7,Away,Penn State,4
222,20172018,Michigan,Loss,2,Home,Ferris State,3
222,20172018,Ferris State,Win,3,Away,Michigan,2
223,20172018,Wisconsin,Loss,2,Home,North Dakota,3
223,20172018,North Dakota,Win,3,Away,Wisconsin,2
224,20172018,Air Force,Loss,0,Home,Army,2
224,20172018,Army,Win,2,Away,Air Force,0
225,20172018,Niagara,Win,4,Home,Bentley,3
225,20172018,Bentley,Loss,3,Away,Niagara,4
226,20172018,RIT,Loss,2,Home,American International,3
226,20172018,American International,Win,3,Away,RIT,2
227,20172018,Robert Morris,Win,3,Home,Holy Cross,0
227,20172018,Holy Cross,Loss,0,Away,Robert Morris,3
228,20172018,Sacred Heart,Win,6,Home,Canisius,2
228,20172018,Canisius,Loss,2,Away,Sacred Heart,6
229,20172018,Ohio State,Loss,2,Home,Notre Dame,3
229,20172018,Notre Dame,Win,3,Away,Ohio State,2
230,20172018,Minnesota,Win,4,Home,Michigan State,0
230,20172018,Michigan State,Loss,0,Away,Minnesota,4
231,20172018,Clarkson,Win,3,Home,Union,2
231,20172018,Union,Loss,2,Away,Clarkson,3
232,20172018,Dartmouth,Win,3,Home,Yale,1
232,20172018,Yale,Loss,1,Away,Dartmouth,3
233,20172018,Harvard,Win,3,Home,Brown,0
233,20172018,Brown,Loss,0,Away,Harvard,3
234,20172018,Princeton,Loss,4,Home,Cornell,5
234,20172018,Cornell,Win,5,Away,Princeton,4
235,20172018,Quinnipiac,Loss,1,Home,Colgate,4
235,20172018,Colgate,Win,4,Away,Quinnipiac,1
236,20172018,St. Lawrence,Tie,4,Home,Rensselaer,4
236,20172018,Rensselaer,Tie,4,Away,St. Lawrence,4
237,20172018,Boston University,Loss,1,Home,Northeastern,4
237,20172018,Northeastern,Win,4,Away,Boston University,1
238,20172018,Merrimack,Loss,1,Home,Boston College,2
238,20172018,Boston College,Win,2,Away,Merrimack,1
239,20172018,Connecticut,Loss,2,Home,Vermont,4
239,20172018,Vermont,Win,4,Away,Connecticut,2
240,20172018,Massachusetts,Loss,0,Home,New Hampshire,3
240,20172018,New Hampshire,Win,3,Away,Massachusetts,0
241,20172018,Massachusetts-Lowell,Loss,2,Home,Maine,6
241,20172018,Maine,Win,6,Away,Massachusetts-Lowell,2
242,20172018,Miami,Loss,1,Home,Colorado College,2
242,20172018,Colorado College,Win,2,Away,Miami,1
243,20172018,St. Cloud State,Win,5,Home,Minnesota-Duluth,0
243,20172018,Minnesota-Duluth,Loss,0,Away,St. Cloud State,5
244,20172018,Western Michigan,Win,7,Home,Denver,4
244,20172018,Denver,Loss,4,Away,Western Michigan,7
245,20172018,Lake Superior,Loss,1,Home,Alaska-Anchorage,4
245,20172018,Alaska-Anchorage,Win,4,Away,Lake Superior,1
246,20172018,Michigan Tech,Tie,2,Home,Bowling Green,2
246,20172018,Bowling Green,Tie,2,Away,Michigan Tech,2
247,20172018,Northern Michigan,Win,4,Home,Minnesota State,1
247,20172018,Minnesota State,Loss,1,Away,Northern Michigan,4
248,20172018,Alaska,Loss,2,Home,Bemidji State,3
248,20172018,Bemidji State,Win,3,Away,Alaska,2
249,20172018,Arizona State,Loss,1,Home,Alabama-Huntsville,3
249,20172018,Alabama-Huntsville,Win,3,Away,Arizona State,1
250,20172018,Penn State,Win,7,Home,Mercyhurst,5
250,20172018,Mercyhurst,Loss,5,Away,Penn State,7
251,20172018,Wisconsin,Tie,2,Home,North Dakota,2
251,20172018,North Dakota,Tie,2,Away,Wisconsin,2
252,20172018,Sacred Heart,Loss,2,Home,Canisius,3
252,20172018,Canisius,Win,3,Away,Sacred Heart,2
253,20172018,Boston College,Win,2,Home,Connecticut,1
253,20172018,Connecticut,Loss,1,Away,Boston College,2
254,20172018,Massachusetts,Win,5,Home,Providence,2
254,20172018,Providence,Loss,2,Away,Massachusetts,5
255,20172018,American International,Win,6,Home,Sacred Heart,2
255,20172018,Sacred Heart,Loss,2,Away,American International,6
256,20172018,Holy Cross,Win,3,Home,Air Force,0
256,20172018,Air Force,Loss,0,Away,Holy Cross,3
257,20172018,Mercyhurst,Win,4,Home,Canisius,3
257,20172018,Canisius,Loss,3,Away,Mercyhurst,4
258,20172018,Niagara,Loss,1,Home,Army,3
258,20172018,Army,Win,3,Away,Niagara,1
259,20172018,RIT,Win,5,Home,Robert Morris,3
259,20172018,Robert Morris,Loss,3,Away,RIT,5
260,20172018,Michigan State,Loss,3,Home,Wisconsin,6
260,20172018,Wisconsin,Win,6,Away,Michigan State,3
261,20172018,Notre Dame,Win,5,Home,Penn State,3
261,20172018,Penn State,Loss,3,Away,Notre Dame,5
262,20172018,Michigan,Win,5,Home,Minnesota,4
262,20172018,Minnesota,Loss,4,Away,Michigan,5
263,20172018,Brown,Loss,3,Home,Clarkson,5
263,20172018,Clarkson,Win,5,Away,Brown,3
264,20172018,Colgate,Win,2,Home,Harvard,1
264,20172018,Harvard,Loss,1,Away,Colgate,2
265,20172018,Cornell,Win,3,Home,Dartmouth,0
265,20172018,Dartmouth,Loss,0,Away,Cornell,3
266,20172018,Rensselaer,Win,5,Home,Quinnipiac,3
266,20172018,Quinnipiac,Loss,3,Away,Rensselaer,5
267,20172018,Union,Win,4,Home,Princeton,3
267,20172018,Princeton,Loss,3,Away,Union,4
268,20172018,Yale,Win,6,Home,St. Lawrence,1
268,20172018,St. Lawrence,Loss,1,Away,Yale,6
269,20172018,Northeastern,Win,6,Home,Boston University,1
269,20172018,Boston University,Loss,1,Away,Northeastern,6
270,20172018,New Hampshire,Loss,1,Home,Massachusetts-Lowell,2
270,20172018,Massachusetts-Lowell,Win,2,Away,New Hampshire,1
271,20172018,Vermont,Loss,3,Home,Boston College,4
271,20172018,Boston College,Win,4,Away,Vermont,3
272,20172018,Colorado College,Loss,3,Home,Nebraska-Omaha,5
272,20172018,Nebraska-Omaha,Win,5,Away,Colorado College,3
273,20172018,Denver,Win,4,Home,St. Cloud State,2
273,20172018,St. Cloud State,Loss,2,Away,Denver,4
274,20172018,Minnesota-Duluth,Win,3,Home,Western Michigan,0
274,20172018,Western Michigan,Loss,0,Away,Minnesota-Duluth,3
275,20172018,North Dakota,Win,4,Home,Miami,1
275,20172018,Miami,Loss,1,Away,North Dakota,4
276,20172018,Bowling Green,Tie,2,Home,Lake Superior,2
276,20172018,Lake Superior,Tie,2,Away,Bowling Green,2
277,20172018,Bemidji State,Loss,2,Home,Minnesota State,5
277,20172018,Minnesota State,Win,5,Away,Bemidji State,2
278,20172018,Ferris State,Win,3,Home,Alaska,1
278,20172018,Alaska,Loss,1,Away,Ferris State,3
279,20172018,Michigan Tech,Win,4,Home,Northern Michigan,1
279,20172018,Northern Michigan,Loss,1,Away,Michigan Tech,4
280,20172018,Alabama-Huntsville,Win,5,Home,Alaska-Anchorage,1
280,20172018,Alaska-Anchorage,Loss,1,Away,Alabama-Huntsville,5
281,20172018,Merrimack,Win,5,Home,Bentley,2
281,20172018,Bentley,Loss,2,Away,Merrimack,5
282,20172018,Connecticut,Loss,4,Home,Ohio State,5
282,20172018,Ohio State,Win,5,Away,Connecticut,4
283,20172018,American International,Win,4,Home,Sacred Heart,1
283,20172018,Sacred Heart,Loss,1,Away,American International,4
284,20172018,Holy Cross,Tie,3,Home,Air Force,3
284,20172018,Air Force,Tie,3,Away,Holy Cross,3
285,20172018,Mercyhurst,Loss,3,Home,Canisius,7
285,20172018,Canisius,Win,7,Away,Mercyhurst,3
286,20172018,Niagara,Win,3,Home,Army,2
286,20172018,Army,Loss,2,Away,Niagara,3
287,20172018,RIT,Win,5,Home,Robert Morris,2
287,20172018,Robert Morris,Loss,2,Away,RIT,5
288,20172018,Michigan State,Win,2,Home,Wisconsin,0
288,20172018,Wisconsin,Loss,0,Away,Michigan State,2
289,20172018,Notre Dame,Win,1,Home,Penn State,0
289,20172018,Penn State,Loss,0,Away,Notre Dame,1
290,20172018,Michigan,Tie,6,Home,Minnesota,6
290,20172018,Minnesota,Tie,6,Away,Michigan,6
291,20172018,Brown,Win,3,Home,St. Lawrence,1
291,20172018,St. Lawrence,Loss,1,Away,Brown,3
292,20172018,Colgate,Win,3,Home,Dartmouth,2
292,20172018,Dartmouth,Loss,2,Away,Colgate,3
293,20172018,Cornell,Win,3,Home,Harvard,2
293,20172018,Harvard,Loss,2,Away,Cornell,3
294,20172018,Rensselaer,Loss,2,Home,Princeton,6
294,20172018,Princeton,Win,6,Away,Rensselaer,2
295,20172018,Union,Win,4,Home,Quinnipiac,1
295,20172018,Quinnipiac,Loss,1,Away,Union,4
296,20172018,Yale,Loss,1,Home,Clarkson,4
296,20172018,Clarkson,Win,4,Away,Yale,1
297,20172018,Boston University,Win,4,Home,New Hampshire,0
297,20172018,New Hampshire,Loss,0,Away,Boston University,4
298,20172018,Providence,Win,7,Home,Massachusetts,2
298,20172018,Massachusetts,Loss,2,Away,Providence,7
299,20172018,Massachusetts-Lowell,Win,4,Home,Northeastern,2
299,20172018,Northeastern,Loss,2,Away,Massachusetts-Lowell,4
300,20172018,Vermont,Loss,1,Home,Boston College,5
300,20172018,Boston College,Win,5,Away,Vermont,1
301,20172018,Colorado College,Win,4,Home,Nebraska-Omaha,0
301,20172018,Nebraska-Omaha,Loss,0,Away,Colorado College,4
302,20172018,Denver,Win,5,Home,St. Cloud State,1
302,20172018,St. Cloud State,Loss,1,Away,Denver,5
303,20172018,Minnesota-Duluth,Loss,0,Home,Western Michigan,5
303,20172018,Western Michigan,Win,5,Away,Minnesota-Duluth,0
304,20172018,North Dakota,Tie,3,Home,Miami,3
304,20172018,Miami,Tie,3,Away,North Dakota,3
305,20172018,Bowling Green,Win,5,Home,Lake Superior,2
305,20172018,Lake Superior,Loss,2,Away,Bowling Green,5
306,20172018,Bemidji State,Loss,6,Home,Minnesota State,8
306,20172018,Minnesota State,Win,8,Away,Bemidji State,6
307,20172018,Ferris State,Win,5,Home,Alaska,3
307,20172018,Alaska,Loss,3,Away,Ferris State,5
308,20172018,Northern Michigan,Win,4,Home,Michigan Tech,0
308,20172018,Michigan Tech,Loss,0,Away,Northern Michigan,4
309,20172018,Alabama-Huntsville,Tie,3,Home,Alaska-Anchorage,3
309,20172018,Alaska-Anchorage,Tie,3,Away,Alabama-Huntsville,3
310,20172018,Connecticut,Tie,1,Home,Ohio State,1
310,20172018,Ohio State,Tie,1,Away,Connecticut,1
311,20172018,Air Force,Win,4,Home,RIT,3
311,20172018,RIT,Loss,3,Away,Air Force,4
312,20172018,Army,Tie,2,Home,Holy Cross,2
312,20172018,Holy Cross,Tie,2,Away,Army,2
313,20172018,Canisius,Win,5,Home,Bentley,1
313,20172018,Bentley,Loss,1,Away,Canisius,5
314,20172018,Robert Morris,Win,3,Home,American International,1
314,20172018,American International,Loss,1,Away,Robert Morris,3
315,20172018,Wisconsin,Win,7,Home,Michigan,3
315,20172018,Michigan,Loss,3,Away,Wisconsin,7
316,20172018,Colgate,Loss,2,Home,Clarkson,5
316,20172018,Clarkson,Win,5,Away,Colgate,2
317,20172018,Cornell,Win,6,Home,St. Lawrence,1
317,20172018,St. Lawrence,Loss,1,Away,Cornell,6
318,20172018,Princeton,Win,5,Home,Yale,4
318,20172018,Yale,Loss,4,Away,Princeton,5
319,20172018,Quinnipiac,Win,5,Home,Brown,0
319,20172018,Brown,Loss,0,Away,Quinnipiac,5
320,20172018,Maine,Win,5,Home,Boston University,2
320,20172018,Boston University,Loss,2,Away,Maine,5
321,20172018,Northeastern,Win,2,Home,Vermont,1
321,20172018,Vermont,Loss,1,Away,Northeastern,2
322,20172018,Providence,Win,2,Home,Merrimack,1
322,20172018,Merrimack,Loss,1,Away,Providence,2
323,20172018,Massachusetts-Lowell,Win,5,Home,Connecticut,2
323,20172018,Connecticut,Loss,2,Away,Massachusetts-Lowell,5
324,20172018,New Hampshire,Loss,2,Home,Boston College,3
324,20172018,Boston College,Win,3,Away,New Hampshire,2
325,20172018,Denver,Loss,4,Home,North Dakota,5
325,20172018,North Dakota,Win,5,Away,Denver,4
326,20172018,Miami,Loss,1,Home,Minnesota-Duluth,3
326,20172018,Minnesota-Duluth,Win,3,Away,Miami,1
327,20172018,St. Cloud State,Win,6,Home,Colorado College,1
327,20172018,Colorado College,Loss,1,Away,St. Cloud State,6
328,20172018,Western Michigan,Win,4,Home,Nebraska-Omaha,1
328,20172018,Nebraska-Omaha,Loss,1,Away,Western Michigan,4
329,20172018,Minnesota State,Win,6,Home,Bowling Green,1
329,20172018,Bowling Green,Loss,1,Away,Minnesota State,6
330,20172018,Alaska-Anchorage,Tie,1,Home,Michigan Tech,1
330,20172018,Michigan Tech,Tie,1,Away,Alaska-Anchorage,1
331,20172018,Alaska,Loss,3,Home,Northern Michigan,5
331,20172018,Northern Michigan,Win,5,Away,Alaska,3
332,20172018,Alabama-Huntsville,Loss,1,Home,Lake Superior,3
332,20172018,Lake Superior,Win,3,Away,Alabama-Huntsville,1
333,20172018,Arizona State,Loss,0,Home,Penn State,7
333,20172018,Penn State,Win,7,Away,Arizona State,0
334,20172018,Michigan State,Win,3,Home,Ferris State,2
334,20172018,Ferris State,Loss,2,Away,Michigan State,3
335,20172018,Rensselaer,Loss,1,Home,Notre Dame,4
335,20172018,Notre Dame,Win,4,Away,Rensselaer,1
336,20172018,Minnesota,Win,4,Home,Harvard,2
336,20172018,Harvard,Loss,2,Away,Minnesota,4
337,20172018,Air Force,Loss,2,Home,RIT,3
337,20172018,RIT,Win,3,Away,Air Force,2
338,20172018,Army,Loss,0,Home,Holy Cross,4
338,20172018,Holy Cross,Win,4,Away,Army,0
339,20172018,Canisius,Win,5,Home,Bentley,2
339,20172018,Bentley,Loss,2,Away,Canisius,5
340,20172018,Robert Morris,Win,4,Home,American International,0
340,20172018,American International,Loss,0,Away,Robert Morris,4
341,20172018,Wisconsin,Tie,4,Home,Michigan,4
341,20172018,Michigan,Tie,4,Away,Wisconsin,4
342,20172018,Colgate,Win,3,Home,St. Lawrence,1
342,20172018,St. Lawrence,Loss,1,Away,Colgate,3
343,20172018,Cornell,Loss,0,Home,Clarkson,4
343,20172018,Clarkson,Win,4,Away,Cornell,0
344,20172018,Princeton,Loss,0,Home,Brown,3
344,20172018,Brown,Win,3,Away,Princeton,0
345,20172018,Quinnipiac,Win,3,Home,Yale,0
345,20172018,Yale,Loss,0,Away,Quinnipiac,3
346,20172018,Merrimack,Tie,6,Home,Providence,6
346,20172018,Providence,Tie,6,Away,Merrimack,6
347,20172018,Maine,Loss,0,Home,Boston University,7
347,20172018,Boston University,Win,7,Away,Maine,0
348,20172018,Northeastern,Loss,1,Home,Boston College,4
348,20172018,Boston College,Win,4,Away,Northeastern,1
349,20172018,Connecticut,Loss,0,Home,Massachusetts-Lowell,1
349,20172018,Massachusetts-Lowell,Win,1,Away,Connecticut,0
350,20172018,Denver,Win,4,Home,North Dakota,1
350,20172018,North Dakota,Loss,1,Away,Denver,4
351,20172018,Miami,Win,3,Home,Minnesota-Duluth,2
351,20172018,Minnesota-Duluth,Loss,2,Away,Miami,3
352,20172018,St. Cloud State,Win,5,Home,Colorado College,1
352,20172018,Colorado College,Loss,1,Away,St. Cloud State,5
353,20172018,Western Michigan,Win,5,Home,Nebraska-Omaha,2
353,20172018,Nebraska-Omaha,Loss,2,Away,Western Michigan,5
354,20172018,Minnesota State,Loss,1,Home,Bowling Green,4
354,20172018,Bowling Green,Win,4,Away,Minnesota State,1
355,20172018,Alaska-Anchorage,Tie,3,Home,Michigan Tech,3
355,20172018,Michigan Tech,Tie,3,Away,Alaska-Anchorage,3
356,20172018,Alaska,Win,4,Home,Northern Michigan,1
356,20172018,Northern Michigan,Loss,1,Away,Alaska,4
357,20172018,Alabama-Huntsville,Win,5,Home,Lake Superior,3
357,20172018,Lake Superior,Loss,3,Away,Alabama-Huntsville,5
358,20172018,Arizona State,Loss,2,Home,Penn State,4
358,20172018,Penn State,Win,4,Away,Arizona State,2
359,20172018,Ferris State,Loss,1,Home,Michigan State,3
359,20172018,Michigan State,Win,3,Away,Ferris State,1
360,20172018,Rensselaer,Loss,0,Home,Notre Dame,1
360,20172018,Notre Dame,Win,1,Away,Rensselaer,0
361,20172018,Minnesota,Win,2,Home,Harvard,1
361,20172018,Harvard,Loss,1,Away,Minnesota,2
362,20172018,Sacred Heart,Tie,5,Home,Army,5
362,20172018,Army,Tie,5,Away,Sacred Heart,5
363,20172018,Vermont,Loss,1,Home,Connecticut,4
363,20172018,Connecticut,Win,4,Away,Vermont,1
364,20172018,Brown,Win,4,Home,Holy Cross,2
364,20172018,Holy Cross,Loss,2,Away,Brown,4
365,20172018,Cornell,Win,5,Home,Niagara,4
365,20172018,Niagara,Loss,4,Away,Cornell,5
366,20172018,Princeton,Loss,3,Home,Bemidji State,5
366,20172018,Bemidji State,Win,5,Away,Princeton,3
367,20172018,American International,Loss,1,Home,Niagara,3
367,20172018,Niagara,Win,3,Away,American International,1
368,20172018,Army,Loss,3,Home,Canisius,4
368,20172018,Canisius,Win,4,Away,Army,3
369,20172018,Bentley,Win,3,Home,Robert Morris,1
369,20172018,Robert Morris,Loss,1,Away,Bentley,3
370,20172018,Notre Dame,Win,1,Home,Minnesota,0
370,20172018,Minnesota,Loss,0,Away,Notre Dame,1
371,20172018,Penn State,Win,7,Home,Michigan State,2
371,20172018,Michigan State,Loss,2,Away,Penn State,7
372,20172018,Michigan,Loss,2,Home,Ohio State,3
372,20172018,Ohio State,Win,3,Away,Michigan,2
373,20172018,Providence,Win,3,Neutral,Maine,0
373,20172018,Maine,Loss,0,Neutral,Providence,3
374,20172018,Alaska,Loss,4,Home,Michigan Tech,5
374,20172018,Michigan Tech,Win,5,Away,Alaska,4
375,20172018,Alabama-Huntsville,Loss,2,Home,Ferris State,6
375,20172018,Ferris State,Win,6,Away,Alabama-Huntsville,2
376,20172018,Boston College,Tie,4,Home,Harvard,4
376,20172018,Harvard,Tie,4,Away,Boston College,4
377,20172018,Bowling Green,Loss,3,Home,Miami,6
377,20172018,Miami,Win,6,Away,Bowling Green,3
378,20172018,Holy Cross,Loss,1,Home,Arizona State,3
378,20172018,Arizona State,Win,3,Away,Holy Cross,1
379,20172018,Princeton,Win,4,Home,Bemidji State,1
379,20172018,Bemidji State,Loss,1,Away,Princeton,4
380,20172018,Quinnipiac,Loss,1,Home,Massachusetts,2
380,20172018,Massachusetts,Win,2,Away,Quinnipiac,1
381,20172018,North Dakota,Loss,1,Home,Union,4
381,20172018,Union,Win,4,Away,North Dakota,1
382,20172018,Nebraska-Omaha,Win,4,Home,Northern Michigan,3
382,20172018,Northern Michigan,Loss,3,Away,Nebraska-Omaha,4
383,20172018,Western Michigan,Win,5,Home,Colgate,3
383,20172018,Colgate,Loss,3,Away,Western Michigan,5
384,20172018,Clarkson,Win,2,Neutral,Rensselaer,0
384,20172018,Rensselaer,Loss,0,Neutral,Clarkson,2
385,20172018,American International,Win,4,Home,Niagara,1
385,20172018,Niagara,Loss,1,Away,American International,4
386,20172018,Army,Loss,2,Home,Canisius,3
386,20172018,Canisius,Win,3,Away,Army,2
387,20172018,Bentley,Win,6,Home,Robert Morris,3
387,20172018,Robert Morris,Loss,3,Away,Bentley,6
388,20172018,Sacred Heart,Tie,3,Home,Air Force,3
388,20172018,Air Force,Tie,3,Away,Sacred Heart,3
389,20172018,Notre Dame,Win,5,Home,Minnesota,2
389,20172018,Minnesota,Loss,2,Away,Notre Dame,5
390,20172018,Penn State,Tie,2,Home,Michigan State,2
390,20172018,Michigan State,Tie,2,Away,Penn State,2
391,20172018,Michigan,Loss,1,Home,Ohio State,5
391,20172018,Ohio State,Win,5,Away,Michigan,1
392,20172018,Alaska,Loss,1,Home,Michigan Tech,5
392,20172018,Michigan Tech,Win,5,Away,Alaska,1
393,20172018,Alabama-Huntsville,Win,5,Home,Ferris State,3
393,20172018,Ferris State,Loss,3,Away,Alabama-Huntsville,5
394,20172018,Bowling Green,Tie,2,Home,Miami,2
394,20172018,Miami,Tie,2,Away,Bowling Green,2
395,20172018,Cornell,Win,4,Neutral,Boston University,3
395,20172018,Boston University,Loss,3,Neutral,Cornell,4
396,20172018,Dartmouth,Loss,1,Home,Vermont,2
396,20172018,Vermont,Win,2,Away,Dartmouth,1
397,20172018,Holy Cross,Tie,3,Home,Arizona State,3
397,20172018,Arizona State,Tie,3,Away,Holy Cross,3
398,20172018,Connecticut,Win,2,Home,RIT,1
398,20172018,RIT,Loss,1,Away,Connecticut,2
399,20172018,Massachusetts,Win,6,Home,Quinnipiac,3
399,20172018,Quinnipiac,Loss,3,Away,Massachusetts,6
400,20172018,Minnesota-Duluth,Win,3,Home,Minnesota State,1
400,20172018,Minnesota State,Loss,1,Away,Minnesota-Duluth,3
401,20172018,North Dakota,Tie,2,Home,Union,2
401,20172018,Union,Tie,2,Away,North Dakota,2
402,20172018,Nebraska-Omaha,Win,4,Home,Northern Michigan,1
402,20172018,Northern Michigan,Loss,1,Away,Nebraska-Omaha,4
403,20172018,Wisconsin,Loss,2,Home,Mercyhurst,3
403,20172018,Mercyhurst,Win,3,Away,Wisconsin,2
404,20172018,Western Michigan,Loss,1,Home,Colgate,5
404,20172018,Colgate,Win,5,Away,Western Michigan,1
405,20172018,Yale,Loss,0,Home,New Hampshire,4
405,20172018,New Hampshire,Win,4,Away,Yale,0
406,20172018,Maine,Win,4,Neutral,Rensselaer,2
406,20172018,Rensselaer,Loss,2,Neutral,Maine,4
407,20172018,Providence,Loss,2,Neutral,Clarkson,4
407,20172018,Clarkson,Win,4,Neutral,Providence,2
408,20172018,Sacred Heart,Loss,3,Home,Air Force,5
408,20172018,Air Force,Win,5,Away,Sacred Heart,3
409,20172018,Wisconsin,Win,4,Home,Mercyhurst,2
409,20172018,Mercyhurst,Loss,2,Away,Wisconsin,4
410,20172018,Princeton,Loss,2,Home,Quinnipiac,6
410,20172018,Quinnipiac,Win,6,Away,Princeton,2
411,20172018,Connecticut,Win,4,Home,Northeastern,1
411,20172018,Northeastern,Loss,1,Away,Connecticut,4
412,20172018,Massachusetts-Lowell,Loss,2,Home,Bentley,3
412,20172018,Bentley,Win,3,Away,Massachusetts-Lowell,2
413,20172018,Air Force,Loss,3,Home,Niagara,6
413,20172018,Niagara,Win,6,Away,Air Force,3
414,20172018,American International,Loss,2,Home,Bentley,6
414,20172018,Bentley,Win,6,Away,American International,2
415,20172018,Mercyhurst,Win,3,Home,Sacred Heart,2
415,20172018,Sacred Heart,Loss,2,Away,Mercyhurst,3
416,20172018,RIT,Loss,2,Home,Holy Cross,4
416,20172018,Holy Cross,Win,4,Away,RIT,2
417,20172018,Michigan State,Loss,1,Home,Notre Dame,3
417,20172018,Notre Dame,Win,3,Away,Michigan State,1
418,20172018,Ohio State,Tie,5,Home,Penn State,5
418,20172018,Penn State,Tie,5,Away,Ohio State,5
419,20172018,Minnesota,Win,5,Home,Wisconsin,4
419,20172018,Wisconsin,Loss,4,Away,Minnesota,5
420,20172018,Princeton,Win,9,Home,Dartmouth,2
420,20172018,Dartmouth,Loss,2,Away,Princeton,9
421,20172018,Quinnipiac,Loss,2,Home,Harvard,6
421,20172018,Harvard,Win,6,Away,Quinnipiac,2
422,20172018,Rensselaer,Win,2,Home,Yale,1
422,20172018,Yale,Loss,1,Away,Rensselaer,2
423,20172018,Union,Win,3,Home,Brown,1
423,20172018,Brown,Loss,1,Away,Union,3
424,20172018,Boston College,Loss,4,Home,Boston University,7
424,20172018,Boston University,Win,7,Away,Boston College,4
425,20172018,Maine,Tie,2,Home,Vermont,2
425,20172018,Vermont,Tie,2,Away,Maine,2
426,20172018,Northeastern,Win,3,Home,Merrimack,1
426,20172018,Merrimack,Loss,1,Away,Northeastern,3
427,20172018,Providence,Win,5,Home,New Hampshire,2
427,20172018,New Hampshire,Loss,2,Away,Providence,5
428,20172018,Massachusetts,Win,4,Home,Connecticut,2
428,20172018,Connecticut,Loss,2,Away,Massachusetts,4
429,20172018,Minnesota-Duluth,Loss,0,Home,Denver,1
429,20172018,Denver,Win,1,Away,Minnesota-Duluth,0
430,20172018,North Dakota,Win,4,Home,Western Michigan,3
430,20172018,Western Michigan,Loss,3,Away,North Dakota,4
431,20172018,Nebraska-Omaha,Loss,4,Home,St. Cloud State,7
431,20172018,St. Cloud State,Win,7,Away,Nebraska-Omaha,4
432,20172018,Bowling Green,Win,3,Home,Bemidji State,1
432,20172018,Bemidji State,Loss,1,Away,Bowling Green,3
433,20172018,Ferris State,Win,2,Home,Alaska-Anchorage,0
433,20172018,Alaska-Anchorage,Loss,0,Away,Ferris State,2
434,20172018,Lake Superior,Loss,3,Home,Alaska,5
434,20172018,Alaska,Win,5,Away,Lake Superior,3
435,20172018,Northern Michigan,Win,3,Home,Alabama-Huntsville,1
435,20172018,Alabama-Huntsville,Loss,1,Away,Northern Michigan,3
436,20172018,Miami,Win,2,Home,Cornell,1
436,20172018,Cornell,Loss,1,Away,Miami,2
437,20172018,Air Force,Loss,2,Home,Niagara,5
437,20172018,Niagara,Win,5,Away,Air Force,2
438,20172018,Mercyhurst,Loss,3,Home,Sacred Heart,5
438,20172018,Sacred Heart,Win,5,Away,Mercyhurst,3
439,20172018,RIT,Win,5,Home,Holy Cross,3
439,20172018,Holy Cross,Loss,3,Away,RIT,5
440,20172018,Michigan State,Loss,0,Home,Notre Dame,2
440,20172018,Notre Dame,Win,2,Away,Michigan State,0
441,20172018,Ohio State,Loss,0,Home,Penn State,4
441,20172018,Penn State,Win,4,Away,Ohio State,0
442,20172018,Minnesota,Loss,2,Home,Wisconsin,3
442,20172018,Wisconsin,Win,3,Away,Minnesota,2
443,20172018,Princeton,Loss,2,Home,Harvard,5
443,20172018,Harvard,Win,5,Away,Princeton,2
444,20172018,Quinnipiac,Tie,0,Home,Dartmouth,0
444,20172018,Dartmouth,Tie,0,Away,Quinnipiac,0
445,20172018,Rensselaer,Loss,4,Home,Brown,5
445,20172018,Brown,Win,5,Away,Rensselaer,4
446,20172018,Union,Loss,3,Home,Yale,5
446,20172018,Yale,Win,5,Away,Union,3
447,20172018,Boston University,Loss,1,Home,Boston College,4
447,20172018,Boston College,Win,4,Away,Boston University,1
448,20172018,Merrimack,Loss,1,Home,Northeastern,3
448,20172018,Northeastern,Win,3,Away,Merrimack,1
449,20172018,Maine,Win,6,Home,Vermont,2
449,20172018,Vermont,Loss,2,Away,Maine,6
450,20172018,New Hampshire,Win,1,Home,Providence,0
450,20172018,Providence,Loss,0,Away,New Hampshire,1
451,20172018,Minnesota-Duluth,Loss,1,Home,Denver,2
451,20172018,Denver,Win,2,Away,Minnesota-Duluth,1
452,20172018,North Dakota,Win,4,Home,Western Michigan,1
452,20172018,Western Michigan,Loss,1,Away,North Dakota,4
453,20172018,Nebraska-Omaha,Loss,0,Home,St. Cloud State,5
453,20172018,St. Cloud State,Win,5,Away,Nebraska-Omaha,0
454,20172018,Bowling Green,Tie,3,Home,Bemidji State,3
454,20172018,Bemidji State,Tie,3,Away,Bowling Green,3
455,20172018,Ferris State,Win,5,Home,Alaska-Anchorage,2
455,20172018,Alaska-Anchorage,Loss,2,Away,Ferris State,5
456,20172018,Lake Superior,Win,4,Home,Alaska,1
456,20172018,Alaska,Loss,1,Away,Lake Superior,4
457,20172018,Northern Michigan,Loss,2,Home,Alabama-Huntsville,3
457,20172018,Alabama-Huntsville,Win,3,Away,Northern Michigan,2
458,20172018,Army,Win,3,Home,Colgate,1
458,20172018,Colgate,Loss,1,Away,Army,3
459,20172018,Canisius,Loss,1,Home,Clarkson,5
459,20172018,Clarkson,Win,5,Away,Canisius,1
