"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20162017,"Boston College",3,"@","Denver",1,"","IceBreaker","2016-10-08","NC","Loss","Win","Yes","No","No","NCHC","Hockey East"
20162017,"Sacred Heart",2,"@","Merrimack",1,"","","2016-10-09","NC","Loss","Win","No","No","No","Hockey East","Atlantic Hockey"
20162017,"Minnesota",6,"vs.","Alaska",3,"","","2016-10-09","NC","Loss","Win","No","No","No","WCHA","Big Ten"
20162017,"Sacred Heart",0,"@","Army",3,"","","2016-10-14","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Alabama-Huntsville",3,"@","Michigan Tech",7,"","","2016-10-14","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Bemidji State",2,"@","Northern Michigan",0,"","","2016-10-14","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Union",5,"@","American International",4,"","","2016-10-14","NC","Loss","Win","No","No","No","Atlantic Hockey","ECAC"
20162017,"Air Force",4,"@","Arizona State",3,"","","2016-10-14","NC","Loss","Win","No","No","No","Independent","Atlantic Hockey"
20162017,"Northeastern",1,"@","Bentley",1,"OT","","2016-10-14","NC","Tie","Tie","No","No","No","Atlantic Hockey","Hockey East"
20162017,"Western Michigan",4,"@","Bowling Green",4,"OT","","2016-10-14","NC","Tie","Tie","No","No","No","WCHA","NCHC"
20162017,"Massachusetts-Lowell",8,"@","Colorado College",5,"","","2016-10-14","NC","Loss","Win","No","No","No","NCHC","Hockey East"
20162017,"Merrimack",0,"@","Clarkson",4,"","","2016-10-14","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Connecticut",4,"@","Colgate",4,"OT","","2016-10-14","NC","Tie","Tie","No","No","No","ECAC","Hockey East"
20162017,"Boston University",3,"@","Denver",4,"","","2016-10-14","NC","Win","Loss","No","No","No","NCHC","Hockey East"
20162017,"Michigan State",1,"@","Lake Superior",6,"","","2016-10-14","NC","Win","Loss","No","No","No","WCHA","Big Ten"
20162017,"Quinnipiac",3,"@","Maine",4,"OT","","2016-10-14","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Penn State",7,"@","Mercyhurst",0,"","","2016-10-14","NC","Loss","Win","No","No","No","Atlantic Hockey","Big Ten"
20162017,"St. Cloud State",1,"@","Minnesota State",4,"","","2016-10-14","NC","Win","Loss","No","No","No","WCHA","NCHC"
20162017,"New Hampshire",2,"@","St. Lawrence",6,"","","2016-10-14","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Notre Dame",3,"@","Minnesota-Duluth",4,"","","2016-10-14","NC","Win","Loss","No","No","No","NCHC","Hockey East"
20162017,"Boston College",1,"@","Wisconsin",3,"","","2016-10-14","NC","Win","Loss","No","No","No","Big Ten","Hockey East"
20162017,"Nebraska-Omaha",3,"vs.","Alaska-Anchorage",1,"","Alaska Goal Rush","2016-10-14","NC","Loss","Win","Yes","No","No","WCHA","NCHC"
20162017,"Canisius",2,"@","Alaska",1,"OT","Alaska Goal Rush","2016-10-14","NC","Loss","Win","Yes","No","No","WCHA","Atlantic Hockey"
20162017,"Alabama-Huntsville",1,"@","Michigan Tech",1,"OT","","2016-10-15","WC","Tie","Tie","No","No","No","WCHA","WCHA"
20162017,"Bemidji State",2,"@","Northern Michigan",0,"","","2016-10-15","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Massachusetts-Lowell",4,"@","Colorado College",0,"","","2016-10-15","NC","Loss","Win","No","No","No","NCHC","Hockey East"
20162017,"New Hampshire",5,"@","Clarkson",3,"","","2016-10-15","NC","Loss","Win","No","No","No","ECAC","Hockey East"
20162017,"Boston University",1,"@","Denver",3,"","","2016-10-15","NC","Win","Loss","No","No","No","NCHC","Hockey East"
20162017,"Michigan",2,"@","Ferris State",1,"","","2016-10-15","NC","Loss","Win","No","No","No","WCHA","Big Ten"
20162017,"Providence",1,"@","Holy Cross",2,"OT","","2016-10-15","NC","Win","Loss","No","No","No","Atlantic Hockey","Hockey East"
