"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Colorado","Nathan MacKinnon","C","Halifax Mooseheads","QMJHL"
"1","2","Florida","Aleksander Barkov","C","Tappara Tampere","SMliiga"
"1","3","Tampa Bay","Jonathan Drouin","L","Halifax Mooseheads","QMJHL"
"1","4","Nashville","Seth Jones","D","Portland Winterhawks","WHL"
"1","5","Carolina","Elias Lindholm","C","Brynas IF Gavle","SEL"
"1","6","Calgary","Sean Monahan","C","Ottawa 67s","OHL"
"1","7","Edmonton","Darnell Nurse","D","Sault Ste Marie Greyhounds","OHL"
"1","8","Buffalo","Rasmus Ristolainen","D","TPS Turku","SMliiga"
"1","9","Vancouver","Bo Horvat","C","London Knights","OHL"
"1","10","Dallas","Valeri Nichushkin","R","Chelyabinsk Traktor","KHL"
"1","11","Philadelphia","Samuel Morin","D","Rimouski Oceanic","QMJHL"
"1","12","Phoenix","Max Domi","C","London Knights","OHL"
"1","13","Winnipeg","Josh Morrissey","D","Prince Albert Raiders","WHL"
"1","14","Columbus","Alexander Wennberg","C","Djurgardens IF Stockholm","Swe1"
"1","15","NY Islanders","Ryan Pulock","D","Brandon Wheat Kings","WHL"
"1","16","Buffalo","Nikita Zadorov","D","London Knights","OHL"
"1","17","Ottawa","Curtis Lazar","C","Edmonton Oil Kings","WHL"
"1","18","San Jose","Mirco Mueller","D","Everett Silvertips","WHL"
"1","19","Columbus","Kerby Rychel","L","Windsor Spitfires","OHL"
"1","20","Detroit","Anthony Mantha","R","Val dOr Foreurs","QMJHL"
"1","21","Toronto","Frederik Gauthier","C","Rimouski Oceanic","QMJHL"
"1","22","Calgary","Emile Poirier","L","Gatineau Olympiques","QMJHL"
"1","23","Washington","Andre Burakovsky","L","Malmo Redhawks","Swe1"
"1","24","Vancouver","Hunter Shinkaruk","L","Medicine Hat Tigers","WHL"
"1","25","Montreal","Michael McCarron","R","US National Development Team","USHL"
"1","26","Anaheim","Shea Theodore","D","Seattle Thunderbirds","WHL"
"1","27","Columbus","Marko Dano","C","Bratislava Slovan","KHL"
"1","28","Calgary","Morgan Klimchuk","L","Regina Pats","WHL"
"1","29","Dallas","Jason Dickinson","C","Guelph Storm","OHL"
"1","30","Chicago","Ryan Hartman","L","Plymouth Whalers","OHL"
"2","31","Florida","Ian McCoshen","D","Waterloo Black Hawks","USHL"
"2","32","Colorado","Chris Bigras","D","Owen Sound Attack","OHL"
"2","33","Tampa Bay","Adam Erne","L","Quebec Remparts","QMJHL"
"2","34","Montreal","Jacob De La Rose","C","Leksands IF","Swe1"
"2","35","Buffalo","JT Compher","C","US National Development Team","USHL"
"2","36","Montreal","Zachary Fucale","G","Halifax Mooseheads","QMJHL"
"2","37","Los Angeles","Valentin Zykov","L","BaieComeau Drakkar","QMJHL"
"2","38","Buffalo","Connor Hurley","C","Edina","Minn HS"
"2","39","Phoenix","Laurent Dauphin","C","Chicoutimi Sagueneens","QMJHL"
"2","40","Dallas","Remi Elie","L","London Knights","OHL"
"2","41","Philadelphia","Robert Hagg","D","Modo Jrs","Sweden"
"2","42","New Jersey","Steven Santini","D","US National Development Team","USHL"
"2","43","Winnipeg","Nicolas Petan","C","Portland Winterhawks","WHL"
"2","44","Pittsburgh","Tristan Jarry","G","Edmonton Oil Kings","WHL"
"2","45","Anaheim","Nick Sorensen","R","Quebec Remparts","QMJHL"
"2","46","Minnesota","Gustav Olofsson","D","Green Bay Gamblers","USHL"
"2","47","St. Louis","Tommy Vannelli","D","Minnetonka","Minn HS"
"2","48","Detroit","Zach Nastasiuk","R","Owen Sound Attack","OHL"
"2","49","San Jose","Gabryel Boudreau","L","BaieComeau Drakkar","QMJHL"
"2","50","Columbus","Dillon Heatherington","D","Swift Current Broncos","WHL"
"2","51","Chicago","Carl Dahlstrom","D","Linkoping Jrs","Sweden"
"2","52","Buffalo","Justin Bailey","R","Kitchener Rangers","OHL"
"2","53","Washington","Madison Bowey","D","Kelowna Rockets","WHL"
"2","54","Dallas","Philippe Desrosiers","G","Rimouski Oceanic","QMJHL"
"2","55","Montreal","Artturi Lehkonen","L","KalPa Kuopio","SMliiga"
"2","56","Edmonton","Marco Roy","C","BlainvilleBoisbriand Armada","QMJHL"
"2","57","St. Louis","William Carrier","L","Cape Breton Screaming Eagles","QMJHL"
"2","58","Detroit","Tyler Bertuzzi","L","Guelph Storm","OHL"
"2","59","Winnipeg","Eric Comrie","G","TriCity Americans","WHL"
"2","60","Boston","Linus Arnesson","D","Djurgarden Jrs","Sweden"
"2","61","Washington","Zach Sanford","C","Middlesex Islanders","EJHL"
"3","62","Phoenix","Yan-Pavel Laplante","L","Prince Edward Island Rocket","QMJHL"
"3","63","Colorado","Spencer Martin","G","Mississauga Steelheads","OHL"
"3","64","Nashville","Jonathan-Ismael Diaby","D","Victoriaville Tigres","QMJHL"
"3","65","NY Rangers","Adam Tambellini","C","Surrey Eagles","BCHL"
"3","66","Carolina","Brett Pesce","D","U of New Hampshire","HEast"
"3","67","Calgary","Keegan Kanzig","D","Victoria Royals","WHL"
"3","68","Dallas","Niklas Hansson","D","Rogle","Sweden Jrs"
"3","69","Buffalo","Nick Baptiste","C","Sudbury Wolves","OHL"
"3","70","NY Islanders","Eamon McAdam","G","Waterloo Black Hawks","USHL"
"3","71","Montreal","Connor Crisp","C","Erie Otters","OHL"
"3","72","Philadelphia","Tyrell Goulbourne","L","Kelowna Rockets","WHL"
"3","73","New Jersey","Ryan Kujawinski","C","Kingston Frontenacs","OHL"
"3","74","Chicago","John Hayden","L","US National Development Team","USHL"
"3","75","NY Rangers","Pavel Buchnevich","R","Cherepovets Jrs","Russia"
"3","76","NY Islanders","Taylor Cammarata","C","Waterloo Black Hawks","USHL"
"3","77","Pittsburgh","Jake Guentzel","C","Sioux City Musketeers","USHL"
"3","78","Ottawa","Marcus Hogberg","G","Linkoping Jrs","Sweden"
"3","79","Detroit","Mattias Janmark-Nylen","C","AIK","SEL"
"3","80","NY Rangers","Anthony Duclair","L","Quebec Remparts","QMJHL"
"3","81","Minnesota","Kurtis Gabriel","R","Owen Sound Attack","OHL"
"3","82","Toronto","Carter Verhaeghe","C","Niagara IceDogs","OHL"
"3","83","Edmonton","Bogdan Yakimov","C","Nizhnekamsk Jrs","Russia"
"3","84","Winnipeg","Jimmy Lodge","C","Saginaw Spirit","OHL"
"3","85","Vancouver","Cole Cassels","C","Oshawa Generals","OHL"
"3","86","Montreal","Sven Andrighetto","R","RouynNoranda Huskies","QMJHL"
"3","87","Anaheim","Keaton Thompson","D","US National Development Team","USHL"
"3","88","Edmonton","Anton Slepyshev","L","Ufa Salavat Yulayev","KHL"
"3","89","Columbus","Oliver Bjorkstrand","R","Portland Winterhawks","WHL"
"3","90","Boston","Peter Cehlarik","L","Lulea Jrs","Sweden"
"3","91","Winnipeg","JC Lipon","R","Kamloops Blazers","WHL"
"4","92","Florida","Evan Cowley","G","Wichita Falls Wildcats","NAHL"
"4","93","Colorado","Mason Geertsen","D","Vancouver Giants","WHL"
"4","94","Edmonton","Jackson Houck","R","Vancouver Giants","WHL"
"4","95","Nashville","Felix Girard","C","BaieComeau Drakkar","QMJHL"
"4","96","Edmonton","Kyle Platzer","C","London Knights","OHL"
"4","97","Florida","Michael Downing","D","Dubuque Fighting Saints","USHL"
"4","98","Florida","Matt Buckles","C","St Michaels Buzzers","OJHL"
"4","99","Nashville","Juuse Saros","G","HPK Jrs","Finland"
"4","100","New Jersey","Miles Wood","L","Nobles","Mass HS"
"4","101","Dallas","Nick Paul","L","Brampton Battalion","OHL"
"4","102","Ottawa","Tobias Lindberg","R","Djurgarden Jrs","Sweden"
"4","103","Los Angeles","Justin Auger","R","Guelph Storm","OHL"
"4","104","Winnipeg","Andrew Copp","C","U of Michigan","CCHA"
"4","105","Columbus","Nick Moutrey","R","Saginaw Spirit","OHL"
"4","106","NY Islanders","Stephon Williams","G","Minnesota State U  Mankato","WCHA"
