"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Edmonton","Taylor Hall","L","Windsor Spitfires","OHL"
"1","2","Boston","Tyler Seguin","C","Plymouth Whalers","OHL"
"1","3","Florida","Erik Gudbranson","D","Kingston Frontenacs","OHL"
"1","4","Columbus","Ryan Johansen","C","Portland Winterhawks","WHL"
"1","5","NY Islanders","Nino Niederreiter","R","Portland Winterhawks","WHL"
"1","6","Tampa Bay","Brett Connolly","R","Prince George Cougars","WHL"
"1","7","Carolina","Jeff Skinner","L","Kitchener Rangers","OHL"
"1","8","Atlanta","Alexander Burmistrov","C","Barrie Colts","OHL"
"1","9","Minnesota","Mikael Granlund","C","HIFK Helsinki","SMliiga"
"1","10","NY Rangers","Dylan McIlrath","D","Moose Jaw Warriors","WHL"
"1","11","Dallas","Jack Campbell","G","US National Development Team","USHL"
"1","12","Anaheim","Cam Fowler","D","Windsor Spitfires","OHL"
"1","13","Phoenix","Brandon Gormley","D","Moncton Wildcats","QMJHL"
"1","14","St. Louis","Jaden Schwartz","L","TriCity Storm","USHL"
"1","15","Los Angeles","Derek Forbort","D","US National Development Team","USHL"
"1","16","St. Louis","Vladimir Tarasenko","R","Novosibirsk Sibir","KHL"
"1","17","Colorado","Joey Hishon","C","Owen Sound Attack","OHL"
"1","18","Nashville","Austin Watson","C","Peterborough Petes","OHL"
"1","19","Florida","Nick Bjugstad","C","Blaine HS","Minn"
"1","20","Pittsburgh","Beau Bennett","R","Penticton Vees","BCHL"
"1","21","Detroit","Riley Sheahan","C","Notre Dame","CCHA"
"1","22","Montreal","Jarred Tinordi","D","US National Development Team","USHL"
"1","23","Buffalo","Mark Pysyk","D","Edmonton Oil Kings","WHL"
"1","24","Chicago","Kevin Hayes","C","Nobles School","Mass"
"1","25","Florida","Quinton Howden","C","Moose Jaw Warriors","WHL"
"1","26","Washington","Evgeny Kuznetsov","C","Chelyabinsk Traktor","KHL"
"1","27","Phoenix","Mark Visentin","G","Niagara IceDogs","OHL"
"1","28","San Jose","Charlie Coyle","C","South Shore Kings","EJHL"
"1","29","Anaheim","Emerson Etem","R","Medicine Hat Tigers","WHL"
"1","30","NY Islanders","Brock Nelson","C","Warroad HS","Minn"
"2","31","Edmonton","Tyler Pitlick","C","Minnesota State U  Mankato","WCHA"
"2","32","Boston","Jared Knight","R","London Knights","OHL"
"2","33","Florida","John Mcfarland","R","Sudbury Wolves","OHL"
"2","34","Columbus","Dalton Smith","L","Ottawa 67s","OHL"
"2","35","Chicago","Ludvig Rensfeldt","L","Brynas Jrs","Sweden"
"2","36","Florida","Alex Petrovic","D","Red Deer Rebels","WHL"
"2","37","Carolina","Justin Faulk","D","US National Development Team","USHL"
"2","38","New Jersey","Jon Merrill","D","US National Development Team","USHL"
"2","39","Minnesota","Brett Bulmer","R","Kelowna Rockets","WHL"
"2","40","NY Rangers","Christian Thomas","L","Oshawa Generals","OHL"
"2","41","Dallas","Patrik Nemeth","D","AIK Jr","Sweden"
"2","42","Anaheim","Devante Smith-Pelly","R","Mississauga St Michaels Majors","OHL"
"2","43","Toronto","Brad Ross","L","Portland Winterhawks","WHL"
"2","44","St. Louis","Sebastian Wannstrom","R","Brynas IF Gavle","SEL"
"2","45","Boston","Ryan Spooner","C","Peterborough Petes","OHL"
"2","46","Edmonton","Martin Marincin","D","Slovakia U20","Slovakia"
"2","47","Los Angeles","Tyler Toffoli","C","Ottawa 67s","OHL"
"2","48","Edmonton","Curtis Hamilton","L","Saskatoon Blades","WHL"
"2","49","Colorado","Calvin Pickard","G","Seattle Thunderbirds","WHL"
"2","50","Florida","Connor Brickley","L","Des Moines Buccaneers","USHL"
"2","51","Detroit","Calle Jarnkrok","C","Brynas IF Gavle","SEL"
"2","52","Phoenix","Phil Lane","R","Brampton Battalion","OHL"
"2","53","Carolina","Mark Alt","D","CretinDerham HS","Minn"
"2","54","Chicago","Justin Holl","D","Minnetonka HS","Minn"
"2","55","Columbus","Petr Straka","R","Rimouski Oceanic","QMJHL"
"2","56","Minnesota","Johan Larsson","R","Brynas Jrs","Sweden"
"2","57","Phoenix","Oscar Lindberg","C","Skelleftea AIK","SEL"
"2","58","Chicago","Kent Simpson","G","Everett Silvertips","WHL"
"2","59","Minnesota","Jason Zucker","F","US National Development Team","USHL"
"2","60","Chicago","Stephen Johns","D","US National Development Team","USHL"
"3","61","Edmonton","Ryan Martindale","C","Ottawa 67s","OHL"
"3","62","Toronto","Greg McKegg","C","Erie Otters","OHL"
"3","63","Tampa Bay","Brock Beukeboom","D","Sault Ste Marie Greyhounds","OHL"
"3","64","Calgary","Max Reinhart","C","Kootenay Ice","WHL"
"3","65","NY Islanders","Kirill Kabanov","L","Moncton Wildcats","QMJHL"
"3","66","Tampa Bay","Radko Gudas","D","Everett Silvertips","WHL"
"3","67","Carolina","Danny Biega","D","Harvard University","ECAC"
"3","68","Buffalo","Jerome Leduc","D","RouynNoranda Huskies","QMJHL"
