"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Edmonton","Ryan Nugent-Hopkins","C","Red Deer Rebels","WHL"
"1","2","Colorado","Gabriel Landeskog","L","Kitchener Rangers","OHL"
"1","3","Florida","Jonathan Huberdeau","L","Saint John Sea Dogs","QMJHL"
"1","4","New Jersey","Adam Larsson","D","Skelleftea AIK","SEL"
"1","5","NY Islanders","Ryan Strome","C","Niagara IceDogs","OHL"
"1","6","Ottawa","Mika Zibanejad","C","Djurgardens IF Stockholm","SEL"
"1","7","Winnipeg","Mark Scheifele","C","Barrie Colts","OHL"
"1","8","Philadelphia","Sean Couturier","C","Drummondville Voltigeurs","QMJHL"
"1","9","Boston","Dougie Hamilton","D","Niagara IceDogs","OHL"
"1","10","Minnesota","Jonas Brodin","D","Farjestads BK Karlstad","SEL"
"1","11","Colorado","Duncan Siemens","D","Saskatoon Blades","WHL"
"1","12","Carolina","Ryan Murphy","D","Kitchener Rangers","OHL"
"1","13","Calgary","Sven Baertschi","L","Portland Winterhawks","WHL"
"1","14","Dallas","Jamie Oleksiak","D","Northeastern University","HEast"
"1","15","NY Rangers","J.T. Miller","C","US National Development Team","USHL"
"1","16","Buffalo","Joel Armia","R","Assat Pori","SMliiga"
"1","17","Montreal","Nathan Beaulieu","D","Saint John Sea Dogs","QMJHL"
"1","18","Chicago","Mark McNeill","C","Prince Albert Raiders","WHL"
"1","19","Edmonton","Oscar Klefbom","D","Farjestads BK Karlstad","SEL"
"1","20","Phoenix","Connor Murphy","D","US National Development Team","USHL"
"1","21","Ottawa","Stefan Noesen","R","Plymouth Whalers","OHL"
"1","22","Toronto","Tyler Biggs","R","US National Development Team","USHL"
"1","23","Pittsburgh","Joe Morrow","D","Portland Winterhawks","WHL"
"1","24","Ottawa","Matt Puempel","L","Peterborough Petes","OHL"
"1","25","Toronto","Stuart Percy","D","Mississauga St Michaels Majors","OHL"
"1","26","Chicago","Phillip Danault","C","Victoriaville Tigres","QMJHL"
"1","27","Tampa Bay","Vladislav Namestnikov","C","London Knights","OHL"
"1","28","Minnesota","Zack Phillips","C","Saint John Sea Dogs","QMJHL"
"1","29","Vancouver","Nicklas Jensen","R","Oshawa Generals","OHL"
"1","30","Anaheim","Rickard Rakell","C","Plymouth Whalers","OHL"
"2","31","Edmonton","David Musil","D","Vancouver Giants","WHL"
"2","32","St. Louis","Ty Rattie","R","Portland Winterhawks","WHL"
"2","33","Florida","Rocco Grimaldi","C","US National Development Team","USHL"
"2","34","NY Islanders","Scott Mayfield","D","Youngstown Phantoms","USHL"
"2","35","Detroit","Tomas Jurco","L","Saint John Sea Dogs","QMJHL"
"2","36","Chicago","Adam Clendening","D","Boston University","HEast"
"2","37","Columbus","Boone Jenner","C","Oshawa Generals","OHL"
"2","38","Nashville","Magnus Hellberg","G","Almtuna IS","Swe1"
"2","39","Anaheim","John Gibson","G","US National Development Team","USHL"
"2","40","Boston","Alexander Khokhlachev","C","Windsor Spitfires","OHL"
"2","41","St. Louis","Dmitrij Jaskin","L","Slavia Praha HC","Czech"
"2","42","Carolina","Victor Rask","C","Leksands IF","Swe1"
"2","43","Chicago","Brandon Saad","L","Saginaw Spirit","OHL"
"2","44","Dallas","Brett Ritchie","R","Sarnia Sting","OHL"
"2","45","Calgary","Markus Granlund","C","HIFK Jr","Finland"
"2","46","St. Louis","Joel Edmundson","D","Moose Jaw Warriors","WHL"
"2","47","San Jose","Matthew Nieto","L","Boston University","HEast"
"2","48","Detroit","Xavier Ouellet","D","Montreal Juniors","QMJHL"
"2","49","Los Angeles","Christopher Gibson","G","Chicoutimi Sagueneens","QMJHL"
"2","50","NY Islanders","Johan Sundstrom","C","Frolunda HC","SEL"
"2","51","Phoenix","Alexander Ruuttu","F","Jokerit Jrs","Finland"
"2","52","Nashville","Miikka Salomaki","F","Karpat","SMliiga"
"2","53","Anaheim","William Karlsson","C","Vasteras IK","Swe1"
"2","54","Pittsburgh","Scott Harrington","D","London Knights","OHL"
"2","55","Detroit","Ryan Sproul","D","Sault Ste Marie Greyhounds","OHL"
"2","56","Phoenix","Lucas Lessio","L","Oshawa Generals","OHL"
"2","57","Calgary","Tyler Wotherspoon","D","Portland Winterhawks","WHL"
"2","58","Tampa Bay","Nikita Kucherov","R","CSKA Jr","Russia"
"2","59","Florida","Rasmus Bengtsson","D","Rogle BK","Swe1"
"2","60","Minnesota","Mario Lucia","F","Wayzata HS","Minn"
"2","61","Ottawa","Shane Prince","L","Ottawa 67s","OHL"
"3","62","Edmonton","Samu Perhonen","G","JYP Jrs","Finland"
"3","63","NY Islanders","Andrey Pedan","D","Guelph Storm","OHL"
"3","64","Florida","Vincent Trocheck","C","Saginaw Spirit","OHL"
"3","65","Anaheim","Joseph Cramarossa","C","Mississauga St Michaels Majors","OHL"
"3","66","Columbus","T.J. Tynan","F","Notre Dame","CCHA"
"3","67","Winnipeg","Adam Lowry","C","Swift Current Broncos","WHL"
"3","68","Philadelphia","Nick Cousins","C","Sault Ste Marie Greyhounds","OHL"
"3","70","Chicago","Michael Paliotta","D","US National Development Team","USHL"
"3","71","Vancouver","David Honzik","G","Victoriaville Tigres","QMJHL"
"3","72","NY Rangers","Steven Fogarty","F","Edina HS","Minn"
"3","73","Carolina","Keegan Lowe","D","Edmonton Oil Kings","WHL"
"3","74","Edmonton","Travis Ewanyk","C","Edmonton Oil Kings","WHL"
"3","75","New Jersey","Blake Coleman","F","Indiana Ice","USHL"
"3","76","Florida","Logan Shaw","R","Cape Breton Screaming Eagles","QMJHL"
"3","77","Buffalo","Daniel Catenacci","C","Sault Ste Marie Greyhounds","OHL"
"3","78","Winnipeg","Brennan Serville","D","Stouffville Spirit","OJHL"
"3","79","Chicago","Klas Dahlbeck","D","Linkopings HC","SEL"
"3","80","Los Angeles","Andy Andreoff","L","Oshawa Generals","OHL"
"3","81","Boston","Anthony Camara","L","Saginaw Spirit","OHL"
"3","82","Los Angeles","Nick Shore","F","U of Denver","WCHA"
"3","83","Anaheim","Andrew Welinski","D","Green Bay Gamblers","USHL"
"3","84","Phoenix","Harrison Ruopp","D","Prince Albert Raiders","WHL"
"3","85","Detroit","Alan Quine","C","Peterborough Petes","OHL"
"3","86","Toronto","Joshua Leivo","L","Sudbury Wolves","OHL"
"3","87","Florida","Jonathan Racine","D","Shawinigan Cataractes","QMJHL"
"3","88","St. Louis","Jordan Binnington","G","Owen Sound Attack","OHL"
"3","89","San Jose","Justin Sefton","D","Sudbury Wolves","OHL"
"3","90","Vancouver","Alexandre Grenier","R","Quebec Remparts","QMJHL"
"3","91","Florida","Kyle Rau","L","Sioux Falls Stampede","USHL"
"4","92","Edmonton","Dillon Simpson","D","U of North Dakota","WCHA"
"4","93","Colorado","Joachim Nermark","C","Linkoping Jr","Sweden"
"4","94","Nashville","Josh Shalla","L","Saginaw Spirit","OHL"
"4","95","NY Islanders","Robbie Russo","D","US National Development Team","USHL"
"4","96","Ottawa","Jean-Gabriel Pageau","C","Gatineau Olympiques","QMJHL"
"4","97","Montreal","Josiah Didier","D","Cedar Rapids RoughRiders","USHL"
"4","98","Columbus","Mike Reilly","D","Shattuck St Marys","Minn"
"4","99","New Jersey","Reid Boucher","L","US National Development Team","USHL"
"4","100","Toronto","Tom Nilsson","D","Mora Jr","Sweden"
"4","101","Vancouver","Joe Labate","L","Holy Angels Academy","Minn"
"4","102","St. Louis","Yannick Veilleux","L","Shawinigan Cataractes","QMJHL"
"4","103","Carolina","Gregory Hofmann","F","AmbriPiotta","SwissA"
"4","104","Calgary","Johnny Gaudreau","L","Dubuque Fighting Saints","USHL"
"4","105","Dallas","Emil Molin","L","Brynas Jrs","Sweden"
"4","106","NY Rangers","Michael St. Croix","C","Edmonton Oil Kings","WHL"
"4","107","Buffalo","Colin Jacobs","C","Seattle Thunderbirds","WHL"
"4","108","Montreal","Olivier Archambault","L","Val dOr Foreurs","QMJHL"
"4","109","Chicago","Maxim Shalunov","R","Cherepovets Jr","Russia"
"4","110","Los Angeles","Michael Mersch","F","U of Wisconsin","WCHA"
"4","111","Phoenix","Kale Kessy","L","Medicine Hat Tigers","WHL"
"4","112","Nashville","Garrett Noonan","D","Boston University","HEast"
"4","113","Montreal","Magnus Nygren","D","Farjestads BK Karlstad","SEL"
"4","114","Edmonton","Tobias Rieder","R","Kitchener Rangers","OHL"
"4","115","Detroit","Marek Tvrdon","L","Vancouver Giants","WHL"
"4","116","Philadelphia","Colin Suellentrop","D","Oshawa Generals","OHL"
"4","117","Washington","Steffen Soberg","G","Manglerud Star","Norway"
"4","118","Philadelphia","Marcel Noebels","C","Seattle Thunderbirds","WHL"
"4","119","Winnipeg","Zach Yuen","D","TriCity Americans","WHL"
"4","120","Vancouver","Ludwig Blomstrand","L","Djurgarden Jrs","Sweden"
"4","121","Boston","Brian Ferlin","R","Indiana Ice","USHL"
"5","122","Edmonton","Martin Gernat","D","Kosice Jr","Slovakia"
"5","123","Colorado","Garrett Meurs","R","Plymouth Whalers","OHL"
"5","124","Florida","Yaroslav Kosov","F","Magnitogorsk Jr","Russia"
"5","125","NY Islanders","John Persson","L","Red Deer Rebels","WHL"
"5","126","Ottawa","Fredrik Claesson","D","Djurgardens IF Stockholm","SEL"
"5","127","NY Islanders","Brenden Kichton","D","Spokane Chiefs","WHL"
"5","128","Columbus","Seth Ambroz","F","Omaha Lancers","USHL"
"5","129","New Jersey","Blake Pietila","L","US National Development Team","USHL"
"5","130","Toronto","Tony Cameranesi","C","Wayzata HS","Minn"
"5","131","Minnesota","Nick Seeler","D","Eden Prairie HS","Minn"
"5","132","St. Louis","Niklas Lundstrom","G","AIK","SEL"
"5","133","San Jose","Sean Kuraly","F","Indiana Ice","USHL"
"5","134","NY Rangers","Shane McColgan","C","Kelowna Rockets","WHL"
"5","135","Dallas","Troy Vance","D","Victoriaville Tigres","QMJHL"
"5","136","NY Rangers","Samuel Noreau","D","BaieComeau Drakkar","QMJHL"
"5","137","Buffalo","Alex Lepkowski","D","Barrie Colts","OHL"
"5","138","Montreal","Darren Dietz","D","Saskatoon Blades","WHL"
"5","139","Chicago","Andrew Shaw","C","Owen Sound Attack","OHL"
"5","140","Los Angeles","Joel Lowry","F","Victoria Grizzlies","BCHL"
"5","141","Phoenix","Darian Dziurzynski","L","Saskatoon Blades","WHL"
"5","142","Nashville","Simon Karlsson","D","Malmo Jrs","Sweden"
"5","143","Anaheim","Max Friberg","L","Skovde","Sweden"
"5","144","Pittsburgh","Dominik Uher","C","Spokane Chiefs","WHL"
"5","145","Detroit","Philippe Hudon","R","Choate Rosemary Hall","Conn"
"5","146","Detroit","Mattias Backman","D","Linkoping Jr","Sweden"
"5","147","Washington","Patrick Koudys","D","RPI","ECAC"
"5","148","Tampa Bay","Nikita Nesterov","D","Cherepovets Jr","Russia"
"5","149","Winnipeg","Austen Brassard","R","Belleville Bulls","OHL"
"5","150","Vancouver","Frankie Corrado","D","Sudbury Wolves","OHL"
"5","151","Boston","Rob O'Gara","D","Milton Academy","Mass"
"6","152","Toronto","David Broll","L","Sault Ste Marie Greyhounds","OHL"
"6","153","Colorado","Gabriel Beaupre","D","Val dOr Foreurs","QMJHL"
"6","154","Florida","Eddie Wittchow","D","Burnsville HS","Minn"
"6","155","Phoenix","Andrew Fritsch","R","Owen Sound Attack","OHL"
"6","156","Ottawa","Darren Kramer","L","Spokane Chiefs","WHL"
"6","157","Winnipeg","Jason Kasdorf","G","Portage Terriers","MJHL"
"6","158","Columbus","Lukas Sedlak","C","Ceske Budejovice Jrs","Czech"
"6","159","New Jersey","Reece Scarlett","D","Swift Current Broncos","WHL"
"6","160","Anaheim","Josh Manson","D","Salmon Arm Silverbacks","BCHL"
"6","161","Minnesota","Steve Michalek","G","LoomisChafee HS","Mass"
"6","162","St. Louis","Ryan Tesink","L","Saint John Sea Dogs","QMJHL"
"6","163","Carolina","Matt Mahalak","G","Plymouth Whalers","OHL"
"6","164","Calgary","Laurent Brossoit","G","Edmonton Oil Kings","WHL"
"6","165","Dallas","Matej Stransky","R","Saskatoon Blades","WHL"
"6","166","San Jose","Daniil Sobchenko","F","Yaroslavl Lokomotiv","KHL"
"6","167","Buffalo","Nathan Lieuwen","G","Kootenay Ice","WHL"
"6","168","Montreal","Daniel Pribyl","C","Sparta Jrs","Czech Rep"
"6","169","Chicago","Sam Jardine","D","Camrose Kodiaks","AJHL"
"6","170","Nashville","Chase Balisy","R","Western Michigan University","CCHA"
"6","171","Ottawa","Max McCormick","F","Sioux City Musketeers","USHL"
"6","172","NY Rangers","Peter Ceresnak","D","Trencin Jr","Slovakia"
"6","173","Toronto","Dennis Robertson","D","Brown University","ECAC"
"6","174","Pittsburgh","Josh Archibald","R","Brainerd HS","Minn"
"6","175","Detroit","Richard Nedomlel","D","Swift Current Broncos","WHL"
"6","176","Philadelphia","Petr Placek","R","Hotchkiss School","Conn"
"6","177","Washington","Travis Boyd","F","US National Development Team","USHL"
