"Round","Pick","NHLTeam","Name","Position","Team","League"
"3","86","Philadelphia","Mark Friedman","D","Waterloo Black Hawks","USHL"
"3","87","Arizona","Anton Karlsson","L","Frolunda","Sweden Jrs"
"3","88","Chicago","Beau Starrett","F","South Shore Kings","USPHLPr"
"3","89","Washington","Nathan Walker","L","Hershey Bears","AHL"
"3","90","Los Angeles","Mike Amadio","C","North Bay Battalion","OHL"
"4","91","Edmonton","William Lagesson","D","Frolunda","Sweden Jrs"
"4","92","Florida","Joe Wegwerth","L","US National Under18 Team","USHL"
"4","93","Colorado","Nick Magyar","R","Kitchener Rangers","OHL"
"4","94","St. Louis","Ville Husso","G","HIFK Helsinki","SMliiga"
"4","95","NY Islanders","Linus Soderstrom","G","Djurgarden","Sweden Jrs"
"4","96","Carolina","Josh Wesley","D","Plymouth Whalers","OHL"
"4","97","Carolina","Lucas Wallmark","C","Lulea HF","SweHL"
"4","98","Chicago","Fredrik Olofsson","F","Chicago Steel","USHL"
"4","99","Winnipeg","Chase De Leo","C","Portland Winterhawks","WHL"
"4","100","Ottawa","Shane Eiserman","F","Dubuque Fighting Saints","USHL"
"4","101","Winnipeg","Nelson Nogier","D","Saskatoon Blades","WHL"
"4","102","San Jose","Alexis Vanier","D","BaieComeau Drakkar","QMJHL"
"4","103","Toronto","J.J. Piccinich","R","Youngstown Phantoms","USHL"
"4","104","NY Rangers","Ryan Mantha","D","Indiana Ice","USHL"
"4","105","Dallas","Michael Prapavessis","D","Toronto Lakeshore Patriots","OJHL"
"4","106","Detroit","Christoffer Ehn","C","Frolunda","Sweden Jrs"
"4","107","Columbus","Julien Pelletier","L","Cape Breton Screaming Eagles","QMJHL"
"4","108","NY Islanders","Devon Toews","D","Quinnipiac University","ECAC"
"4","109","Minnesota","Kaapo Kahkonen","G","Blues","Finland Jrs"
"4","110","St. Louis","Austin Poganski","F","TriCity Storm","USHL"
"4","111","Edmonton","Zach Nagelvoort","G","U of Michigan","Big10"
"4","112","Nashville","Viktor Arvidsson","R","Skelleftea AIK","SweHL"
"4","113","Pittsburgh","Sam Lafferty","R","Deerfield Academy","Mass HS"
"4","114","Colorado","Alexis Pepin","L","Gatineau Olympiques","QMJHL"
"4","115","Dallas","Brent Moran","G","Niagara IceDogs","OHL"
"4","116","Boston","Danton Heinen","C","Surrey Eagles","BCHL"
"4","117","Arizona","Michael Bunting","L","Sault Ste Marie Greyhounds","OHL"
"4","118","NY Rangers","Igor Shesterkin","G","Spartak","Russia Jrs"
"4","119","Tampa Bay","Ben Thomas","D","Calgary Hitmen","WHL"
"4","120","Los Angeles","Steven Johnson","D","Omaha Lancers","USHL"
"5","121","Buffalo","Max Willman","L","WillistonNorthampton","Mass HS"
"5","122","NY Rangers","Richard Nejezchleb","R","Brandon Wheat Kings","WHL"
"5","123","Anaheim","Matthew Berkovitz","D","Ashwaubenon","Wisc HS"
"5","124","St. Louis","Jaedon Descheneau","R","Kootenay Ice","WHL"
"5","125","Montreal","Nikolas Koberstein","D","Olds Grizzlys","AJHL"
"5","126","Vancouver","Gustav Forsling","D","Linkoping","Sweden Jrs"
"5","127","Carolina","Clark Bishop","C","Cape Breton Screaming Eagles","QMJHL"
"5","128","Toronto","Dakota Joshua","F","Sioux Falls Stampede","USHL"
"5","129","Winnipeg","C.J. Franklin","F","Sioux Falls Stampede","USHL"
"5","130","Edmonton","Liam Coughlin","F","Vernon Vipers","BCHL"
"5","131","New Jersey","Ryan Rehill","D","Kamloops Blazers","WHL"
"5","132","Nashville","Joonas Lyytinen","D","KalPa Kuopio","SMliiga"
"5","133","Arizona","Dysin Mayo","D","Edmonton Oil Kings","WHL"
"5","134","Washington","Shane Gersich","F","US National Under18 Team","USHL"
"5","135","Dallas","Miro Karjalainen","D","Jokerit","Finland Jrs"
"5","136","Detroit","Chase Perry","G","Wenatchee Wild","NAHL"
"5","137","Columbus","Tyler Bird","R","Kimball Union","NH HS"
"5","138","Philadelphia","Oskar Lindblom","F","Brynas","Sweden Jrs"
"5","139","Minnesota","Tanner Faith","D","Kootenay Ice","WHL"
"5","140","NY Rangers","Daniel Walcott","D","BlainvilleBoisbriand Armada","QMJHL"
"5","141","Chicago","Luc Snuggerud","D","Eden Prairie","Wisc HS"
"5","142","NY Rangers","Tyler Nanne","F","Edina","Minn HS"
"5","143","Florida","Miguel Fidler","L","Edina","Minn HS"
"5","144","Colorado","Anton Lindholm","D","Skelleftea","Sweden Jrs"
"5","145","Pittsburgh","Anthony Angello","F","Omaha Lancers","USHL"
"5","146","Boston","Anders Bjork","F","US National Under18 Team","USHL"
"5","147","Montreal","Daniel Audette","C","Sherbrooke Phoenix","QMJHL"
"5","148","Chicago","Andreas Soderberg","D","Skelleftea","Sweden Jrs"
"5","149","San Jose","Rourke Chartier","C","Kelowna Rockets","WHL"
"5","150","Los Angeles","Alec Dillon","G","Victoria Grizzlies","BCHL"
"6","151","Buffalo","Christopher Brown","F","Cranbrook Kingston","Mich HS"
"6","152","New Jersey","J.D. Dudek","F","Kimball Union","NH HS"
"6","153","Edmonton","Tyler Vesel","F","Omaha Lancers","USHL"
"6","154","Dallas","Aaron Haydon","D","Niagara IceDogs","OHL"
"6","155","NY Islanders","Kyle Schempp","F","Ferris State University","WCHA"
"6","156","Vancouver","Kyle Pettit","C","Erie Otters","OHL"
"6","157","Los Angeles","Jake Marchment","C","Belleville Bulls","OHL"
"6","158","Toronto","Nolan Vesey","F","South Shore Kings","USPHLPr"
"6","159","Washington","Steven Spinner","F","Omaha Lancers","USHL"
"6","160","Minnesota","Pontus Sjalin","D","Ostersunds","Sweden Jrs"
"6","161","New Jersey","Brandon Baddock","C","Edmonton Oil Kings","WHL"
"6","162","Nashville","Aaron Irving","D","Edmonton Oil Kings","WHL"
"6","163","Arizona","David Westlund","D","Brynas","Sweden Jrs"
"6","164","Winnipeg","Pavel Kraskovsky","F","Yaroslavl","Russia Jrs"
"6","165","Dallas","John Nyberg","D","Frolunda","Sweden Jrs"
"6","166","Detroit","Julius Vahatalo","F","TPS","Finland Jrs"
"6","167","Minnesota","Chase Lang","R","Calgary Hitmen","WHL"
"6","168","Philadelphia","Radel Fazleev","C","Calgary Hitmen","WHL"
"6","169","Minnesota","Reid Duke","C","Lethbridge Hurricanes","WHL"
"6","170","Tampa Bay","Cristiano DiGiacinto","L","Windsor Spitfires","OHL"
"6","171","San Jose","Kevin Labanc","R","Barrie Colts","OHL"
"6","172","St. Louis","Chandler Yakimowicz","R","London Knights","OHL"
"6","173","Pittsburgh","Jaden Lindo","R","Owen Sound Attack","OHL"
"6","174","Colorado","Maximilian Pajpach","G","Slovakia U18","Slovakia Jrs"
"6","175","Calgary","Adam Ollas-Mattsson","D","Djurgardens","Sweden Jrs"
"6","176","St. Louis","Samuel Blais","L","Victoriaville Tigres","QMJHL"
"6","177","Montreal","Hayden Hawkey","G","Omaha Lancers","USHL"
"6","178","Chicago","Dylan Sikura","F","Aurora Tigers","OJHL"
"6","179","Chicago","Ivan Nalimov","G","SKA St Petersburg","Russia Jrs"
"6","180","Los Angeles","Matthew Mistele","L","Plymouth Whalers","OHL"
"7","181","Buffalo","Victor Olofsson","R","MODO","Sweden Jrs"
"7","182","Florida","Hugo Fagerblom","G","Frolunda","Sweden Jrs"
"7","183","Edmonton","Keven Bouchard","G","Val dOr Foreurs","QMJHL"
"7","184","Calgary","Austin Carroll","L","Victoria Royals","WHL"
"7","185","Tampa Bay","Cameron Darcy","C","Cape Breton Screaming Eagles","QMJHL"
"7","186","Vancouver","Mackenze Stewart","D","Prince Albert Raiders","WHL"
"7","187","Carolina","Kyle Jenkins","D","Sault Ste Marie Greyhounds","OHL"
"7","188","Toronto","Pierre Engvall","L","Frolunda","Sweden Jrs"
"7","189","Ottawa","Kelly Summers","D","Carleton Place Canadians","CCHL"
"7","190","Ottawa","Francis Perron","L","RouynNoranda Huskies","QMJHL"
"7","191","Arizona","Jared Fiegl","F","US National Under18 Team","USHL"
"7","192","Winnipeg","Matt Ustaski","F","Langley Rivermen","BCHL"
"7","193","Arizona","Edgars Kulda","L","Edmonton Oil Kings","WHL"
"7","194","Washington","Kevin Elgestal","F","Frolunda","Sweden Jrs"
"7","195","Dallas","Patrick Sanvido","D","Windsor Spitfires","OHL"
"7","196","Detroit","Axel Holmstrom","F","Skelleftea","Sweden Jrs"
"7","197","Columbus","Olivier Leblanc","D","Saint John Sea Dogs","QMJHL"
