"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Edmonton","Connor McDavid","C","Erie Otters","OHL"
"1","2","Buffalo","Jack Eichel","C","Boston University","HEast"
"1","3","Arizona","Dylan Strome","C","Erie Otters","OHL"
"1","4","Toronto","Mitch Marner","R","London Knights","OHL"
"1","5","Carolina","Noah Hanifin","D","Boston College","HEast"
"1","6","New Jersey","Pavel Zacha","L","Sarnia Sting","OHL"
"1","7","Philadelphia","Ivan Provorov","D","Brandon Wheat Kings","WHL"
"1","8","Columbus","Zach Werenski","D","U of Michigan","Big10"
"1","9","San Jose","Timo Meier","R","Halifax Mooseheads","QMJHL"
"1","10","Colorado","Mikko Rantanen","R","TPS Turku","SMliiga"
"1","11","Florida","Lawson Crouse","L","Kingston Frontenacs","OHL"
"1","12","Dallas","Denis Gurianov","R","Tolyatti","Russia Jrs"
"1","13","Boston","Jakub Zboril","D","Saint John Sea Dogs","QMJHL"
"1","14","Boston","Jake DeBrusk","L","Swift Current Broncos","WHL"
"1","15","Boston","Zachary Senyshyn","R","Sault Ste Marie Greyhounds","OHL"
"1","16","NY Islanders","Mathew Barzal","C","Seattle Thunderbirds","WHL"
"1","17","Winnipeg","Kyle Connor","L","Youngstown Phantoms","USHL"
"1","18","Ottawa","Thomas Chabot","D","Saint John Sea Dogs","QMJHL"
"1","19","Detroit","Evgeny Svechnikov","L","Cape Breton Screaming Eagles","QMJHL"
"1","20","Minnesota","Joel Eriksson-Ek","C","Farjestads BK Karlstad","SweHL"
"1","21","Ottawa","Colin White","C","US National Development Team","USHL"
"1","22","Washington","Ilya Samsonov","G","Magnitogorsk2","Russia Jrs"
"1","23","Vancouver","Brock Boeser","R","Waterloo Black Hawks","USHL"
"1","24","Philadelphia","Travis Konecny","R","Ottawa 67s","OHL"
"1","25","Winnipeg","Jack Roslovic","C","US National Development Team","USHL"
"1","26","Montreal","Noah Juulsen","D","Everett Silvertips","WHL"
"1","27","Anaheim","Jacob Larsson","D","Frolunda Jrs","Sweden"
"1","28","NY Islanders","Anthony Beauvillier","L","Shawinigan Cataractes","QMJHL"
"1","29","Columbus","Gabriel Carlsson","D","Linkopings Jrs","Sweden"
"1","30","Arizona","Nick Merkley","R","Kelowna Rockets","WHL"
"2","31","San Jose","Jeremy Roy","D","Sherbrooke Phoenix","QMJHL"
"2","32","Arizona","Christian Fischer","R","US National Development Team","USHL"
"2","33","Tampa Bay","Mitchell Stephens","C","Saginaw Spirit","OHL"
"2","34","Toronto","Travis Dermott","D","Erie Otters","OHL"
"2","35","Carolina","Sebastian Aho","L","Karpat","SMliiga"
"2","36","Ottawa","Gabriel Gagne","R","Victoriaville Tigres","QMJHL"
"2","37","Boston","Brandon Carlo","D","TriCity Americans","WHL"
"2","38","Columbus","Paul Bittner","L","Portland Winterhawks","WHL"
"2","39","Colorado","A.J. Greer","L","Boston University","HEast"
"2","40","Colorado","Nicolas Meloche","D","BaieComeau Drakkar","QMJHL"
"2","41","NY Rangers","Ryan Gropp","L","Seattle Thunderbirds","WHL"
"2","42","New Jersey","Mackenzie Blackwood","G","Barrie Colts","OHL"
"2","43","Los Angeles","Erik Cernak","D","Kosice HC","Slovak"
"2","44","Tampa Bay","Matthew Spencer","D","Peterborough Petes","OHL"
"2","45","Boston","Jakob Forsbacka-Karlsson","C","Omaha Lancers","USHL"
"2","46","Pittsburgh","Daniel Sprong","R","Charlottetown Islanders","QMJHL"
"2","47","Winnipeg","Jansen Harkins","C","Prince George Cougars","WHL"
"2","48","Ottawa","Filip Chlapik","C","Charlottetown Islanders","QMJHL"
"2","49","Dallas","Roope Hintz","L","Ilves Tampere","SMliiga"
"2","50","Minnesota","Jordan Greenway","L","US National Development Team","USHL"
"2","51","Buffalo","Brendan Guhle","D","Prince Albert Raiders","WHL"
"2","52","Boston","Jeremy Lauzon","D","RouynNoranda Huskies","QMJHL"
"2","53","Calgary","Rasmus Andersson","D","Barrie Colts","OHL"
"2","54","Chicago","Graham Knott","L","Niagara IceDogs","OHL"
"2","55","Nashville","Yakov Trenin","C","Gatineau Olympiques","QMJHL"
