"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","New Jersey","Nico Hischier","C","Halifax Mooseheads","QMJHL"
"1","2","Philadelphia","Nolan Patrick","C","Brandon Wheat Kings","WHL"
"1","3","Dallas","Miro Heiskanen","D","HIFK Helsinki","SMliiga"
"1","4","Colorado","Cale Makar","D","Brooks Bandits","AJHL"
"1","5","Vancouver","Elias Pettersson","C","Timra IK","Swe1"
"1","6","Vegas","Cody Glass","C","Portland Winterhawks","WHL"
"1","7","NY Rangers","Lias Andersson","C","HV71 Jonkoping","SweHL"
"1","8","Buffalo","Casey Mittelstadt","C","Green Bay Gamblers","USHL"
"1","9","Detroit","Michael Rasmussen","C","TriCity Americans","WHL"
"1","10","Florida","Owen Tippett","R","Mississauga Steelheads","OHL"
"1","11","Los Angeles","Gabriel Vilardi","C","Windsor Spitfires","OHL"
"1","12","Carolina","Martin Necas","C","Brno Kometa","Czech"
"1","13","Vegas","Nick Suzuki","C","Owen Sound Attack","OHL"
"1","14","Tampa Bay","Cal Foote","D","Kelowna Rockets","WHL"
"1","15","Vegas","Erik Brannstrom","D","HV71 Jonkoping","SweHL"
"1","16","Calgary","Juuso Valimaki","D","TriCity Americans","WHL"
"1","17","Toronto","Timothy Liljegren","D","Rogle BK","SweHL"
"1","18","Boston","Urho Vaakanainen","D","JyP HT Jyvaskyla","SMliiga"
"1","19","San Jose","Josh Norris","C","US National Development Team","USHL"
"1","20","St. Louis","Robert Thomas","C","London Knights","OHL"
"1","21","NY Rangers","Filip Chytil","C","Zlin ZPS HC","Czech"
"1","22","Edmonton","Kailer Yamamoto","R","Spokane Chiefs","WHL"
"1","23","Arizona","Pierre-Olivier Joseph","D","Charlottetown Islanders","QMJHL"
"1","24","Winnipeg","Kristian Vesalainen","C","Frolunda HC","SweHL"
"1","25","Montreal","Ryan Poehling","C","St Cloud State","NCHC"
"1","26","Dallas","Jake Oettinger","G","Boston University","HEast"
"1","27","Philadelphia","Morgan Frost","C","Sault Ste Marie Greyhounds","OHL"
"1","28","Ottawa","Shane Bowers","C","Waterloo Black Hawks","USHL"
"1","29","Chicago","Henri Jokiharju","D","Portland Winterhawks","WHL"
"1","30","Nashville","Eeli Tolvanen","R","Sioux City Musketeers","USHL"
"1","31","St. Louis","Klim Kostin","F","Moscow Dynamo","KHL"
"2","32","Colorado","Conor Timmins","D","Sault Ste Marie Greyhounds","OHL"
"2","33","Vancouver","Kole Lind","R","Kelowna Rockets","WHL"
"2","34","Vegas","Nicolas Hague","D","Mississauga Steelheads","OHL"
"2","35","Philadelphia","Isaac Ratcliffe","L","Guelph Storm","OHL"
"2","36","New Jersey","Jesper Boqvist","C","Brynas IF Gavle","SweHL"
"2","37","Buffalo","Marcus Davidsson","C","Djurgardens IF","SweHL"
"2","38","Detroit","Gustav Lindstrom","D","Almtuna IS","Swe1"
"2","39","Dallas","Jason Robertson","L","Kingston Frontenacs","OHL"
"2","40","Florida","Aleksi Heponiemi","C","Swift Current Broncos","WHL"
"2","41","Los Angeles","Jaret Anderson-Dolan","C","Spokane Chiefs","WHL"
"2","42","Carolina","Eetu Luostarinen","C","KalPa Kuopio","SMliiga"
"2","43","Winnipeg","Dylan Samberg","D","Hermantown","Minn HS"
"2","44","Arizona","Filip Westerlund","D","Frolunda HC","SweHL"
"2","45","Columbus","Alexandre Texier","C","Grenoble","France"
"2","46","NY Islanders","Robin Salo","D","Sport Vaasa","SMliiga"
"2","47","Ottawa","Alex Formenton","L","London Knights","OHL"
"2","48","Tampa Bay","Alexander Volkov","R","St Petersburg","RussiaJr"
"2","49","San Jose","Mario Ferraro","D","Des Moines Buccaneers","USHL"
"2","50","Anaheim","Maxime Comtois","L","Victoriaville Tigres","QMJHL"
"2","51","Pittsburgh","Zachary Lauzon","D","RouynNoranda Huskies","QMJHL"
"2","52","Carolina","Luke Martin","D","U of Michigan","Big10"
"2","53","Boston","Jack Studnicka","C","Oshawa Generals","OHL"
"2","54","Buffalo","Ukko-Pekka Luukkonen","G","HPK","FinlandJr"
"2","55","Vancouver","Jonah Gadjovich","L","Owen Sound Attack","OHL"
"2","56","Montreal","Josh Brook","D","Moose Jaw Warriors","WHL"
"2","57","Chicago","Ian Mitchell","D","Spruce Grove Saints","AJHL"
"2","58","Montreal","Joni Ikonen","C","Frolunda","SwedenJr"
"2","59","Toronto","Eemeli Rasanen","D","Kingston Frontenacs","OHL"
"2","60","Anaheim","Antoine Morand","C","AcadieBathurst Titan","QMJHL"
"2","61","Nashville","Grant Mismash","L","US National Development Team","USHL"
"2","62","Vegas","Jake Leschyshyn","C","Regina Pats","WHL"
"3","63","New Jersey","Fabian Zetterlund","C","Farjestads BK Karlstad","SweHL"
"3","64","Vancouver","Michael DiPietro","G","Windsor Spitfires","OHL"
"3","65","Vegas","Jonas Rondbjerg","R","Vaxjo HC","SweHL"
