"Round","Pick","NHLTeam","Name","Position","Team","League"
"3","87","Anaheim","Frederik Andersen","G","Frolunda HC","SEL"
"3","88","Phoenix","James Melindy","D","Moncton Wildcats","QMJHL"
"3","89","Nashville","Brendan Leipsic","L","Portland Winterhawks","WHL"
"3","90","New Jersey","Ben Johnson","L","Windsor Spitfires","OHL"
"3","91","Edmonton","Daniil Zharkov","L","Belleville Bulls","OHL"
"4","92","Pittsburgh","Matia Marcantuoni","C","Kitchener Rangers","OHL"
"4","93","Edmonton","Erik Gustafsson","D","Djurgardens IF Stockholm","SEL"
"4","94","Montreal","Brady Vail","C","Windsor Spitfires","OHL"
"4","95","Columbus","Josh Anderson","R","London Knights","OHL"
"4","96","New Jersey","Ben Thomson","L","Kitchener Rangers","OHL"
"4","97","Anaheim","Kevin Roy","F","Lincoln Stars","USHL"
"4","98","Minnesota","Adam Gilmour","C","Nobles","Mass HS"
"4","99","Carolina","Erik Karlsson","L","Frolunda Jrs","Finland"
"4","100","Washington","Thomas DiPauli","C","US National Development Team","USHL"
"4","101","Tampa Bay","Cedric Paquette","C","BlainvilleBoisbriand Armada","QMJHL"
"4","102","Phoenix","Rhett Holland","D","Okotoks Oilers","AJHL"
"4","103","NY Islanders","Loic Leduc","D","Cape Breton Screaming Eagles","QMJHL"
"4","104","Dallas","Gemel Smith","C","Owen Sound Attack","OHL"
"4","105","Calgary","Brett Kulak","D","Vancouver Giants","WHL"
"4","106","Ottawa","Tim Boyle","D","Nobles","Mass HS"
"4","107","Washington","Austin Wuthrich","F","Notre Dame","CCHA"
"4","108","Anaheim","Andrew O'Brien","D","Chicoutimi Sagueneens","QMJHL"
"4","109","San Jose","Christophe Lalancette","R","AcadieBathurst Titan","QMJHL"
"4","110","Detroit","Andreas Athanasiou","C","London Knights","OHL"
"4","111","Philadelphia","Fredric Larsson","D","Brynas Jrs","Sweden"
"4","112","Nashville","Zachary Stepan","C","Shattuck St Marys","Minn HS"
"4","113","Pittsburgh","Sean Maguire","G","Powell River Kings","BCHL"
"4","114","Florida","Alexander Delnov","L","Mytischi Jrs","Russia"
"4","115","Carolina","Trevor Carrick","D","Mississauga St Michaels Majors","OHL"
"4","116","St. Louis","Nick Walters","D","Everett Silvertips","WHL"
"4","117","Philadelphia","Taylor Leier","L","Portland Winterhawks","WHL"
"4","118","Nashville","Mikko Vainonen","D","HIFK Jrs","Finland"
"4","119","NY Rangers","Calle Andersson","D","Farjestad Jrs","Sweden"
"4","120","Carolina","Jaccob Slavin","D","Chicago Steel","USHL"
"4","121","Los Angeles","Nikolay Prokhorkin","L","CSKA Moscow","KHL"
"5","122","Montreal","Charles Hudon","L","Chicoutimi Sagueneens","QMJHL"
"5","123","Edmonton","Joey Laleggia","D","U of Denver","WCHA"
"5","124","Calgary","Ryan Culkin","D","Quebec Remparts","QMJHL"
"5","125","NY Islanders","Doyle Somerby","D","Kimball Union","Mass HS"
"5","126","Toronto","Dominic Toninato","F","Duluth East","Minn HS"
"5","127","Anaheim","Brian Cooper","D","Fargo Force","USHL"
"5","128","Minnesota","Daniel Gunnarsson","D","Lulea HF","SEL"
"5","129","Carolina","Brendan Woods","F","U of Wisconsin","WCHA"
"5","130","Winnipeg","Connor Hellebuyck","G","Odessa Jackalopes","NAHL"
"5","131","Boston","Seth Griffith","R","London Knights","OHL"
"5","132","Colorado","Michael Clarke","C","Windsor Spitfires","OHL"
"5","133","Buffalo","Logan Nelson","C","Victoria Royals","WHL"
"5","134","Dallas","Branden Troock","R","Seattle Thunderbirds","WHL"
"5","135","New Jersey","Graham Black","C","Swift Current Broncos","WHL"
"5","136","Ottawa","Robbie Baillargeon","F","Indiana Ice","USHL"
