"Procedure","RPI","Mean","SD"
"Expected Goals",0.59194633569161,0.53156181840104,0.022593497265065
"Expected Goals",0.520246038156123,0.53156181840104,0.022593497265065
"Expected Goals",0.488859536790804,0.53156181840104,0.022593497265065
"Expected Goals",0.53296895918716,0.53156181840104,0.022593497265065
"Expected Goals",0.496099964991554,0.53156181840104,0.022593497265065
"Expected Goals",0.534043441323575,0.53156181840104,0.022593497265065
"Expected Goals",0.566869376387214,0.53156181840104,0.022593497265065
"Expected Goals",0.495722758930324,0.53156181840104,0.022593497265065
"Expected Goals",0.505824057916749,0.53156181840104,0.022593497265065
"Expected Goals",0.523431837933884,0.53156181840104,0.022593497265065
"Expected Goals",0.512388092832999,0.53156181840104,0.022593497265065
"Expected Goals",0.462741115276668,0.53156181840104,0.022593497265065
"Expected Goals",0.542202105325355,0.53156181840104,0.022593497265065
"Expected Goals",0.542984814703364,0.53156181840104,0.022593497265065
"Expected Goals",0.564359241154958,0.53156181840104,0.022593497265065
"Expected Goals",0.47181670871962,0.53156181840104,0.022593497265065
"Expected Goals",0.506511184652687,0.53156181840104,0.022593497265065
"Expected Goals",0.507514462628481,0.53156181840104,0.022593497265065
"Expected Goals",0.50513610714362,0.53156181840104,0.022593497265065
"Expected Goals",0.532927304268854,0.53156181840104,0.022593497265065
"Expected Goals",0.541487027792576,0.53156181840104,0.022593497265065
"Expected Goals",0.503260663118433,0.53156181840104,0.022593497265065
"Expected Goals",0.564012811220047,0.53156181840104,0.022593497265065
"Expected Goals",0.480571309300567,0.53156181840104,0.022593497265065
"Expected Goals",0.539288393052027,0.53156181840104,0.022593497265065
"Expected Goals",0.56551849551273,0.53156181840104,0.022593497265065
"Expected Goals",0.522176320274301,0.53156181840104,0.022593497265065
"Expected Goals",0.487114644143505,0.53156181840104,0.022593497265065
"Expected Goals",0.549337585360299,0.53156181840104,0.022593497265065
"Expected Goals",0.55178404887741,0.53156181840104,0.022593497265065
"Expected Goals",0.530288698831695,0.53156181840104,0.022593497265065
"Expected Goals",0.520860257740225,0.53156181840104,0.022593497265065
"Expected Goals",0.543127647703393,0.53156181840104,0.022593497265065
"Expected Goals",0.518597523436125,0.53156181840104,0.022593497265065
"Expected Goals",0.49651511898271,0.53156181840104,0.022593497265065
"Expected Goals",0.508632570428247,0.53156181840104,0.022593497265065
"Expected Goals",0.571783228329505,0.53156181840104,0.022593497265065
"Expected Goals",0.513098782162122,0.53156181840104,0.022593497265065
"Expected Goals",0.535119761816849,0.53156181840104,0.022593497265065
"Expected Goals",0.522978610836156,0.53156181840104,0.022593497265065
"Expected Goals",0.527336093019498,0.53156181840104,0.022593497265065
"Expected Goals",0.509440737626202,0.53156181840104,0.022593497265065
"Expected Goals",0.509557585023253,0.53156181840104,0.022593497265065
"Expected Goals",0.517198726620284,0.53156181840104,0.022593497265065
"Expected Goals",0.534803229242395,0.53156181840104,0.022593497265065
"Expected Goals",0.535149762929143,0.53156181840104,0.022593497265065
"Expected Goals",0.529823966903976,0.53156181840104,0.022593497265065
"Expected Goals",0.545810614165681,0.53156181840104,0.022593497265065
"Expected Goals",0.550964584043044,0.53156181840104,0.022593497265065
"Expected Goals",0.534480659432967,0.53156181840104,0.022593497265065
"Expected Goals",0.509509160857698,0.53156181840104,0.022593497265065
"Expected Goals",0.561748654523971,0.53156181840104,0.022593497265065
"Expected Goals",0.55399642238502,0.53156181840104,0.022593497265065
"Expected Goals",0.510093143838808,0.53156181840104,0.022593497265065
"Expected Goals",0.517706681267914,0.53156181840104,0.022593497265065
"Expected Goals",0.546685793028955,0.53156181840104,0.022593497265065
"Expected Goals",0.525018774304788,0.53156181840104,0.022593497265065
"Expected Goals",0.510688397554889,0.53156181840104,0.022593497265065
"Expected Goals",0.544678879886687,0.53156181840104,0.022593497265065
"Expected Goals",0.534606793934152,0.53156181840104,0.022593497265065
"Expected Goals",0.507249341655823,0.53156181840104,0.022593497265065
"Expected Goals",0.523855875969586,0.53156181840104,0.022593497265065
"Expected Goals",0.569334955811102,0.53156181840104,0.022593497265065
"Expected Goals",0.538711630779314,0.53156181840104,0.022593497265065
"Expected Goals",0.523398975205683,0.53156181840104,0.022593497265065
"Expected Goals",0.515853354672927,0.53156181840104,0.022593497265065
"Expected Goals",0.530355610164257,0.53156181840104,0.022593497265065
"Expected Goals",0.535299344995143,0.53156181840104,0.022593497265065
"Expected Goals",0.526947245041232,0.53156181840104,0.022593497265065
"Expected Goals",0.555803466971119,0.53156181840104,0.022593497265065
"Expected Goals",0.528761227920986,0.53156181840104,0.022593497265065
"Expected Goals",0.544917036951768,0.53156181840104,0.022593497265065
"Expected Goals",0.510836930182713,0.53156181840104,0.022593497265065
"Expected Goals",0.496023948465478,0.53156181840104,0.022593497265065
"Expected Goals",0.561306968533548,0.53156181840104,0.022593497265065
"Expected Goals",0.522400789433833,0.53156181840104,0.022593497265065
"Expected Goals",0.514920882254474,0.53156181840104,0.022593497265065
"Expected Goals",0.501617005164654,0.53156181840104,0.022593497265065
"Expected Goals",0.562385180085452,0.53156181840104,0.022593497265065
"Expected Goals",0.523183401039354,0.53156181840104,0.022593497265065
"Expected Goals",0.502484894441918,0.53156181840104,0.022593497265065
"Expected Goals",0.548236569908888,0.53156181840104,0.022593497265065
"Expected Goals",0.526886245841737,0.53156181840104,0.022593497265065
"Expected Goals",0.494453294309388,0.53156181840104,0.022593497265065
"Expected Goals",0.532967085389389,0.53156181840104,0.022593497265065
"Expected Goals",0.526477598903761,0.53156181840104,0.022593497265065
