"","Simulation","Result"
"1","Dynamic",0.43389089294367
"2","Dynamic",0.342886455940055
"3","Dynamic",0.780618920141035
"4","Dynamic",0.474103407984479
"5","Dynamic",0.445413982166813
"6","Dynamic",0.432961883488084
"7","Dynamic",0.407795131751571
"8","Dynamic",0.875607557966466
"9","Dynamic",0.39146029766943
"10","Dynamic",0.280943951441123
"11","Dynamic",0.385904311758398
"12","Dynamic",0.412341766004315
"13","Dynamic",0.443081574441616
"14","Dynamic",0.641758475452706
"15","Dynamic",0.502657809476732
"16","Dynamic",0.573231627192377
"17","Dynamic",0.398680113544892
"18","Dynamic",0.316511017357422
"19","Dynamic",0.649372362368839
"20","Dynamic",0.383097889499367
"21","Dynamic",0.398277025544023
"22","Dynamic",0.694864649495751
"23","Dynamic",0.319923154532136
"24","Dynamic",0.471341135934071
"25","Dynamic",0.479860255063306
"26","Dynamic",0.385729689161107
"27","Dynamic",0.610990742946974
"28","Dynamic",0.814901410317538
"29","Dynamic",0.23856348317472
"30","Dynamic",0.363644357039474
"31","Dynamic",0.700768067620548
"32","Dynamic",0.317766651104403
"33","Dynamic",0.547680591858768
"34","Dynamic",0.408901862560859
"35","Dynamic",0.687761782181468
"36","Dynamic",0.40188216983443
"37","Dynamic",0.314875908577805
"38","Dynamic",0.480197643802429
"39","Dynamic",0.52678250073541
"40","Dynamic",0.389172401029358
"41","Dynamic",0.269990564902466
"42","Dynamic",0.389184763876722
"43","Dynamic",0.453405540180785
"44","Dynamic",0.63996480699283
"45","Dynamic",0.207819400697131
"46","Dynamic",0.40730899834577
"47","Dynamic",0.419009862380571
"48","Dynamic",0.441436317962788
"49","Dynamic",0.684644298827345
"50","Dynamic",0.521973540013586
"51","Dynamic",0.397619341854087
"52","Dynamic",0.624787166684561
"53","Dynamic",0.489285949127635
"54","Dynamic",0.236816723664921
"55","Dynamic",0.275750524792417
"56","Dynamic",0.782380886819924
"57","Dynamic",0.549752588046776
"58","Dynamic",0.61100430471687
"59","Dynamic",0.796170001879495
"60","Dynamic",0.300015422809423
"61","Dynamic",0.364104285559178
"62","Dynamic",0.438534681288664
"63","Dynamic",0.482159153519525
"64","Dynamic",0.338532312574352
"65","Dynamic",0.250276030510768
"66","Dynamic",0.718379594309397
"67","Dynamic",0.282993620902434
"68","Dynamic",0.596871980900019
"69","Dynamic",0.692185209721403
"70","Dynamic",0.419817265833647
"71","Dynamic",0.332456946836556
"72","Dynamic",0.302395064136951
"73","Dynamic",0.557939268727492
"74","Dynamic",0.612083136952581
"75","Dynamic",0.663946006387863
"76","Dynamic",0.390121436199124
"77","Dynamic",0.376558395803585
"78","Dynamic",0.426058924818567
"79","Dynamic",0.4516412777707
"80","Dynamic",0.330775559405211
"81","Dynamic",0.380635123936498
"82","Dynamic",0.674168705458051
"83","Dynamic",0.625600166803134
"84","Dynamic",0.448672068388684
"85","Dynamic",0.430582447831498
"86","Dynamic",0.33077526904878
"87","Dynamic",0.33857935273071
"88","Dynamic",0.541474904807914
"89","Dynamic",0.436386852101921
"90","Dynamic",0.253618138683484
