"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
14,"Tanner Salsberry","FR","D","Cypress, Texas","Bentley","cypress texas","Bentley: 14 Tanner Salsberry - Cypress, Texas (FR-D)"
15,"Charlie Donners","SR","D","Norwood, Massachusetts","Bentley","norwood massachusetts","Bentley: 15 Charlie Donners - Norwood, Massachusetts (SR-D)"
16,"Max French","SR","F","West Kelowna, British Columbia","Bentley","west kelowna british columbia","Bentley: 16 Max French - West Kelowna, British Columbia (SR-F)"
17,"Jake Ahlgren","SO","F","Fergus Falls, Minnesota","Bentley","fergus falls minnesota","Bentley: 17 Jake Ahlgren - Fergus Falls, Minnesota (SO-F)"
18,"Brett Orr","FR","D","Elkhorn, Manitoba","Bentley","elkhorn manitoba","Bentley: 18 Brett Orr - Elkhorn, Manitoba (FR-D)"
19,"Jake Kauppila","FR","F","Gurnee, Illinois","Bentley","gurnee illinois","Bentley: 19 Jake Kauppila - Gurnee, Illinois (FR-F)"
20,"Kyle Schmidt","JR","F","Menomonee Falls, Wisconsin","Bentley","menomonee falls wisconsin","Bentley: 20 Kyle Schmidt - Menomonee Falls, Wisconsin (JR-F)"
21,"Jonathan Desbiens","FR","F","Montr<U+FFFD>al, Quebec","Bentley","montr<U+FFFD>al quebec","Bentley: 21 Jonathan Desbiens - Montr<U+FFFD>al, Quebec (FR-F)"
22,"Ryner Gorowsky","FR","F","Lino Lakes, Minnesota","Bentley","lino lakes minnesota","Bentley: 22 Ryner Gorowsky - Lino Lakes, Minnesota (FR-F)"
23,"Matt Riggleman","FR","F","Milford, Michigan","Bentley","milford michigan","Bentley: 23 Matt Riggleman - Milford, Michigan (FR-F)"
24,"Alexey Solovyev","SO","D","Moscow, Russia","Bentley","moscow russia","Bentley: 24 Alexey Solovyev - Moscow, Russia (SO-D)"
25,"Cody DePourcq","SO","F","Penticton, British Columbia","Bentley","penticton british columbia","Bentley: 25 Cody DePourcq - Penticton, British Columbia (SO-F)"
26,"Matt Sieckhaus","JR","F","St. Louis, Missouri","Bentley","st louis missouri","Bentley: 26 Matt Sieckhaus - St. Louis, Missouri (JR-F)"
27,"Drew Callin","SO","F","Middleton, Wisconsin","Bentley","middleton wisconsin","Bentley: 27 Drew Callin - Middleton, Wisconsin (SO-F)"
28,"Danny Kucerovy","SO","F","Bethel Park, Pennsylvania","Bentley","bethel park pennsylvania","Bentley: 28 Danny Kucerovy - Bethel Park, Pennsylvania (SO-F)"
29,"Jake Bryniarski","SO","G","Rochester, New York","Bentley","rochester new york","Bentley: 29 Jake Bryniarski - Rochester, New York (SO-G)"
30,"Aidan Pelino","FR","G","Oakville, Ontario","Bentley","oakville ontario","Bentley: 30 Aidan Pelino - Oakville, Ontario (FR-G)"
32,"Jayson Argue","JR","G","Swan River, Manitoba","Bentley","swan river manitoba","Bentley: 32 Jayson Argue - Swan River, Manitoba (JR-G)"
2,"Scott Savage","SR","D","San Clemente, California","Boston College","san clemente california","Boston College: 02 Scott Savage - San Clemente, California (SR-D)"
3,"Luke McInnis","FR","D","Hingham, Massachusetts","Boston College","hingham massachusetts","Boston College: 03 Luke McInnis - Hingham, Massachusetts (FR-D)"
4,"Michael Kim","SO","D","Toronto, Ontario","Boston College","toronto ontario","Boston College: 04 Michael Kim - Toronto, Ontario (SO-D)"
5,"Casey Fitzgerald","SO","D","North Reading, Massachusetts","Boston College","north reading massachusetts","Boston College: 05 Casey Fitzgerald - North Reading, Massachusetts (SO-D)"
6,"Michael Campoli","FR","D","Pointe-Claire, Qu<U+FFFD>bec","Boston College","pointeclaire qu<U+FFFD>bec","Boston College: 06 Michael Campoli - Pointe-Claire, Qu<U+FFFD>bec (FR-D)"
7,"Connor Moore","FR","D","Cumming, Georgia","Boston College","cumming georgia","Boston College: 07 Connor Moore - Cumming, Georgia (FR-D)"
8,"Jesper Mattila","FR","D","Tampere, Finland","Boston College","tampere finland","Boston College: 08 Jesper Mattila - Tampere, Finland (FR-D)"
9,"Austin Cangelosi","SR","F","Estero, Florida","Boston College","estero florida","Boston College: 09 Austin Cangelosi - Estero, Florida (SR-F)"
10,"Christopher Brown","SO","F","Bloomfield Hills, Michigan","Boston College","bloomfield hills michigan","Boston College: 10 Christopher Brown - Bloomfield Hills, Michigan (SO-F)"
11,"Chris Calnan","SR","F","Norwell, Massachusetts","Boston College","norwell massachusetts","Boston College: 11 Chris Calnan - Norwell, Massachusetts (SR-F)"
