"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
26,"Ryan Schmelzer","JR","F","Buffalo, New York","Canisius","buffalo new york","Canisius: 26 Ryan Schmelzer - Buffalo, New York (JR-F)"
28,"Dan Fritz","FR","D","Annapolis, Maryland","Canisius","annapolis maryland","Canisius: 28 Dan Fritz - Annapolis, Maryland (FR-D)"
29,"Daniel Urbani","FR","G","Coquitlam, British Columbia","Canisius","coquitlam british columbia","Canisius: 29 Daniel Urbani - Coquitlam, British Columbia (FR-G)"
31,"Simon Hofley","SO","G","Ottawa, Ontario","Canisius","ottawa ontario","Canisius: 31 Simon Hofley - Ottawa, Ontario (SO-G)"
34,"Blake Weyrick","FR","G","Los Angeles, California","Canisius","los angeles california","Canisius: 34 Blake Weyrick - Los Angeles, California (FR-G)"
40,"Jesse Pereira","FR","F","Fort Erie, Ontario","Canisius","fort erie ontario","Canisius: 40 Jesse Pereira - Fort Erie, Ontario (FR-F)"
44,"Alex Jaeckle","SO","D","St. Clair Shores, Michigan","Canisius","st clair shores michigan","Canisius: 44 Alex Jaeckle - St. Clair Shores, Michigan (SO-D)"
47,"David Bennett","JR","D","Ottawa, Ontario","Canisius","ottawa ontario","Canisius: 47 David Bennett - Ottawa, Ontario (JR-D)"
51,"Jeff Murray","JR","F","Newmarket, Ontario","Canisius","newmarket ontario","Canisius: 51 Jeff Murray - Newmarket, Ontario (JR-F)"
52,"Josh Supryka","SO","F","Belleville, Ontario","Canisius","belleville ontario","Canisius: 52 Josh Supryka - Belleville, Ontario (SO-F)"
53,"Cameron Heath","SO","D","Troy, Michigan","Canisius","troy michigan","Canisius: 53 Cameron Heath - Troy, Michigan (SO-D)"
55,"Jack Stander","JR","D","Grosse Pointe Woods, Michigan","Canisius","grosse pointe woods michigan","Canisius: 55 Jack Stander - Grosse Pointe Woods, Michigan (JR-D)"
71,"Joshua Gabriel","SO","F","Lancaster, New York","Canisius","lancaster new york","Canisius: 71 Joshua Gabriel - Lancaster, New York (SO-F)"
72,"Matt Hoover","FR","F","Brantford, Ontario","Canisius","brantford ontario","Canisius: 72 Matt Hoover - Brantford, Ontario (FR-F)"
74,"F lix Chamberland","SO","F","Quebec City, Quebec","Canisius","quebec city quebec","Canisius: 74 F lix Chamberland - Quebec City, Quebec (SO-F)"
77,"Jimmy Mazza","SO","D","Kings Park, New York","Canisius","kings park new york","Canisius: 77 Jimmy Mazza - Kings Park, New York (SO-D)"
81,"Nolan Sheeran","JR","F","East Amherst, New York","Canisius","east amherst new york","Canisius: 81 Nolan Sheeran - East Amherst, New York (JR-F)"
91,"Nick Hutchison","FR","F","Hicksville, New York","Canisius","hicksville new york","Canisius: 91 Nick Hutchison - Hicksville, New York (FR-F)"
1,"Steve Perry","SR","G","Ligonier, Pennsylvania","Clarkson","ligonier pennsylvania","Clarkson: 01 Steve Perry - Ligonier, Pennsylvania (SR-G)"
2,"James de Haas","SR","D","Mississauga, Ontario","Clarkson","mississauga ontario","Clarkson: 02 James de Haas - Mississauga, Ontario (SR-D)"
3,"Greg Moro","FR","D","Edmonton, Alberta","Clarkson","edmonton alberta","Clarkson: 03 Greg Moro - Edmonton, Alberta (FR-D)"
4,"Tyko Karjalainen","JR","D","Helsinki, Finland","Clarkson","helsinki finland","Clarkson: 04 Tyko Karjalainen - Helsinki, Finland (JR-D)"
5,"Kelly Summers","JR","D","Golden Lake, Ontario","Clarkson","golden lake ontario","Clarkson: 05 Kelly Summers - Golden Lake, Ontario (JR-D)"
8,"Perry D'Arrisso","SR","F","Mississauga, Ontario","Clarkson","mississauga ontario","Clarkson: 08 Perry D'Arrisso - Mississauga, Ontario (SR-F)"
9,"Ben Dalpe","JR","F","Paris, Ontario","Clarkson","paris ontario","Clarkson: 09 Ben Dalpe - Paris, Ontario (JR-F)"
10,"Shane Kuzmeski","FR","D","Grayslake, Illinois","Clarkson","grayslake illinois","Clarkson: 10 Shane Kuzmeski - Grayslake, Illinois (FR-D)"
11,"Sheldon Rempal","FR","F","Calgary, Alberta","Clarkson","calgary alberta","Clarkson: 11 Sheldon Rempal - Calgary, Alberta (FR-F)"
12,"Jordan Schneider","FR","D","Toronto, Ontario","Clarkson","toronto ontario","Clarkson: 12 Jordan Schneider - Toronto, Ontario (FR-D)"
13,"Aaron Thow","SO","D","Toronto, Ontario","Clarkson","toronto ontario","Clarkson: 13 Aaron Thow - Toronto, Ontario (SO-D)"
14,"Devin Brosseau","FR","F","Saint-Lambert, Qu<U+FFFD>bec","Clarkson","saintlambert qu<U+FFFD>bec","Clarkson: 14 Devin Brosseau - Saint-Lambert, Qu<U+FFFD>bec (FR-F)"
15,"Dylan Gareau","JR","F","Richmond, Ontario","Clarkson","richmond ontario","Clarkson: 15 Dylan Gareau - Richmond, Ontario (JR-F)"
16,"Troy Josephs","SR","F","Whitby, Ontario","Clarkson","whitby ontario","Clarkson: 16 Troy Josephs - Whitby, Ontario (SR-F)"
17,"Nico Sturm","FR","F","Augsburg, Germany","Clarkson","augsburg germany","Clarkson: 17 Nico Sturm - Augsburg, Germany (FR-F)"
18,"Haralds Egle","FR","F","Liepaja, Latvia","Clarkson","liepaja latvia","Clarkson: 18 Haralds Egle - Liepaja, Latvia (FR-F)"
19,"Brett Gervais","JR","F","Corona, California","Clarkson","corona california","Clarkson: 19 Brett Gervais - Corona, California (JR-F)"
20,"Nic Pierog","JR","F","Georgetown, Ontario","Clarkson","georgetown ontario","Clarkson: 20 Nic Pierog - Georgetown, Ontario (JR-F)"
21,"Sam Vigneault","JR","F","Baie-Comeau, Quebec","Clarkson","baiecomeau quebec","Clarkson: 21 Sam Vigneault - Baie-Comeau, Quebec (JR-F)"
23,"Marly Quince","SO","F","Sioux Lookout, Ontario","Clarkson","sioux lookout ontario","Clarkson: 23 Marly Quince - Sioux Lookout, Ontario (SO-F)"
26,"A.J. Fossen","SR","F","Maple Grove, Minnesota","Clarkson","maple grove minnesota","Clarkson: 26 A.J. Fossen - Maple Grove, Minnesota (SR-F)"
27,"Juho Jokiharju","SO","F","Tampere, Finland","Clarkson","tampere finland","Clarkson: 27 Juho Jokiharju - Tampere, Finland (SO-F)"
28,"Jordan Boucher","SR","F","Sainte-Therese, Quebec","Clarkson","saintetherese quebec","Clarkson: 28 Jordan Boucher - Sainte-Therese, Quebec (SR-F)"
29,"Jake Kielly","FR","G","Eden Prairie, Minnesota","Clarkson","eden prairie minnesota","Clarkson: 29 Jake Kielly - Eden Prairie, Minnesota (FR-G)"
34,"Ville Runola","SR","G","Raisio, Finland","Clarkson","raisio finland","Clarkson: 34 Ville Runola - Raisio, Finland (SR-G)"
44,"Terrance Amorosa","JR","D","Kirkland, Quebec","Clarkson","kirkland quebec","Clarkson: 44 Terrance Amorosa - Kirkland, Quebec (JR-D)"
1,"Charlie Finn","SR","G","North Vancouver, British Columbia","Colgate","north vancouver british columbia","Colgate: 01 Charlie Finn - North Vancouver, British Columbia (SR-G)"
2,"Paul Meyer","FR","D","Edina, Minnesota","Colgate","edina minnesota","Colgate: 02 Paul Meyer - Edina, Minnesota (FR-D)"
3,"Ken Citron","SO","D","Cos Cobb, Connecticut","Colgate","cos cobb connecticut","Colgate: 03 Ken Citron - Cos Cobb, Connecticut (SO-D)"
4,"Willie Brooks","SO","D","Locust, New Jersey","Colgate","locust new jersey","Colgate: 04 Willie Brooks - Locust, New Jersey (SO-D)"
5,"Derek Freeman","SR","F","Newburyport, Massachusetts","Colgate","newburyport massachusetts","Colgate: 05 Derek Freeman - Newburyport, Massachusetts (SR-F)"
6,"Ross Craig","FR","D","South Glengarry, Ontario","Colgate","south glengarry ontario","Colgate: 06 Ross Craig - South Glengarry, Ontario (FR-D)"
8,"John Snodgrass","FR","F","Eagan, Minnesota","Colgate","eagan minnesota","Colgate: 08 John Snodgrass - Eagan, Minnesota (FR-F)"
9,"Bobby McMann","FR","F","Wainwright, Alberta","Colgate","wainwright alberta","Colgate: 09 Bobby McMann - Wainwright, Alberta (FR-F)"
10,"Andrew Black","SR","F","Buffalo, New York","Colgate","buffalo new york","Colgate: 10 Andrew Black - Buffalo, New York (SR-F)"
11,"Jake Kulevich","SR","D","Marblehead, Massachusetts","Colgate","marblehead massachusetts","Colgate: 11 Jake Kulevich - Marblehead, Massachusetts (SR-D)"
12,"Adam Dauda","SO","F","Kitchener, Ontario","Colgate","kitchener ontario","Colgate: 12 Adam Dauda - Kitchener, Ontario (SO-F)"
13,"Rory McGuire","SO","D","Bracebridge, Ontario","Colgate","bracebridge ontario","Colgate: 13 Rory McGuire - Bracebridge, Ontario (SO-D)"
14,"Jared Cockrell","FR","F","Byfield, Massachusetts","Colgate","byfield massachusetts","Colgate: 14 Jared Cockrell - Byfield, Massachusetts (FR-F)"
15,"Jacob Panetta","FR","D","Belleville, Ontario","Colgate","belleville ontario","Colgate: 15 Jacob Panetta - Belleville, Ontario (FR-D)"
16,"Sebastian Weberg","JR","F","Oslo, Norway","Colgate","oslo norway","Colgate: 16 Sebastian Weberg - Oslo, Norway (JR-F)"
17,"Emilio Audi","SR","F","Montr<U+FFFD>al, Quebec","Colgate","montr<U+FFFD>al quebec","Colgate: 17 Emilio Audi - Montr<U+FFFD>al, Quebec (SR-F)"
18,"Ben Sharf","FR","F","Williamsville, New York","Colgate","williamsville new york","Colgate: 18 Ben Sharf - Williamsville, New York (FR-F)"
19,"Tim Harrison","SR","F","Duxbury, Massachusetts","Colgate","duxbury massachusetts","Colgate: 19 Tim Harrison - Duxbury, Massachusetts (SR-F)"
20,"Brett Corkey","SR","D","Calgary, Alberta","Colgate","calgary alberta","Colgate: 20 Brett Corkey - Calgary, Alberta (SR-D)"
21,"Tyler Penner","FR","F","Winnipeg, Manitoba","Colgate","winnipeg manitoba","Colgate: 21 Tyler Penner - Winnipeg, Manitoba (FR-F)"
24,"Anthony Sanniti","SR","D","LaSalle, Quebec","Colgate","lasalle quebec","Colgate: 24 Anthony Sanniti - LaSalle, Quebec (SR-D)"
26,"Evan Peterson","JR","F","Lakeville, Minnesota","Colgate","lakeville minnesota","Colgate: 26 Evan Peterson - Lakeville, Minnesota (JR-F)"
27,"Mike Panowyk","JR","F","Whitby, Ontario","Colgate","whitby ontario","Colgate: 27 Mike Panowyk - Whitby, Ontario (JR-F)"
28,"Hunter Racine","SO","F","Ottawa, Ontario","Colgate","ottawa ontario","Colgate: 28 Hunter Racine - Ottawa, Ontario (SO-F)"
31,"Zac Hamilton","JR","G","Ottawa, Ontario","Colgate","ottawa ontario","Colgate: 31 Zac Hamilton - Ottawa, Ontario (JR-G)"
32,"Colton Point","FR","G","North Bay, Ontario","Colgate","north bay ontario","Colgate: 32 Colton Point - North Bay, Ontario (FR-G)"
33,"Bruce Racine","JR","G","Bethesda, Maryland","Colgate","bethesda maryland","Colgate: 33 Bruce Racine - Bethesda, Maryland (JR-G)"
1,"Alex Leclerc","FR","G","Longueuil, Qu<U+FFFD>bec","Colorado College","longueuil qu<U+FFFD>bec","Colorado College: 01 Alex Leclerc - Longueuil, Qu<U+FFFD>bec (FR-G)"
2,"Trevor Gooch","SO","F","Mantua, New Jersey","Colorado College","mantua new jersey","Colorado College: 02 Trevor Gooch - Mantua, New Jersey (SO-F)"
3,"Kristian Blumenschein","FR","D","Kelowna, British Columbia","Colorado College","kelowna british columbia","Colorado College: 03 Kristian Blumenschein - Kelowna, British Columbia (FR-D)"
4,"Duggie Lagrone","JR","D","Plano, Texas","Colorado College","plano texas","Colorado College: 04 Duggie Lagrone - Plano, Texas (JR-D)"
5,"Cole McCaskill","SO","D","Kamloops, British Columbia","Colorado College","kamloops british columbia","Colorado College: 05 Cole McCaskill - Kamloops, British Columbia (SO-D)"
6,"Nate Kwiecinski","SO","D","Livonia, Michigan","Colorado College","livonia michigan","Colorado College: 06 Nate Kwiecinski - Livonia, Michigan (SO-D)"
7,"David Radke","SO","D","Orinda, California","Colorado College","orinda california","Colorado College: 07 David Radke - Orinda, California (SO-D)"
8,"Luc Gerdes","SR","F","Eden Prairie, Minnesota","Colorado College","eden prairie minnesota","Colorado College: 08 Luc Gerdes - Eden Prairie, Minnesota (SR-F)"
9,"Sam Rothstein","SR","F","Minnetonka, Minnesota","Colorado College","minnetonka minnesota","Colorado College: 09 Sam Rothstein - Minnetonka, Minnesota (SR-F)"
10,"Tanner Ockey","SO","F","Calgary, Alberta","Colorado College","calgary alberta","Colorado College: 10 Tanner Ockey - Calgary, Alberta (SO-F)"
11,"Christian Heil","SR","F","Westminster, Colorado","Colorado College","westminster colorado","Colorado College: 11 Christian Heil - Westminster, Colorado (SR-F)"
12,"Bryce Van Horn","FR","F","Kimball, Michigan","Colorado College","kimball michigan","Colorado College: 12 Bryce Van Horn - Kimball, Michigan (FR-F)"
13,"Nick Halloran","FR","F","Draper, Utah","Colorado College","draper utah","Colorado College: 13 Nick Halloran - Draper, Utah (FR-F)"
14,"Trey Bradley","SO","F","Tampa, Florida","Colorado College","tampa florida","Colorado College: 14 Trey Bradley - Tampa, Florida (SO-F)"
15,"Mason Bergh","SO","F","Eden Prairie, Minnesota","Colorado College","eden prairie minnesota","Colorado College: 15 Mason Bergh - Eden Prairie, Minnesota (SO-F)"
16,"Teemu Kivihalme","JR","D","Savage, Minnesota","Colorado College","savage minnesota","Colorado College: 16 Teemu Kivihalme - Savage, Minnesota (JR-D)"
17,"Westin Michaud","SO","F","Cloquet, Minnesota","Colorado College","cloquet minnesota","Colorado College: 17 Westin Michaud - Cloquet, Minnesota (SO-F)"
18,"Branden Makara","FR","F","Gloucester, Ontario","Colorado College","gloucester ontario","Colorado College: 18 Branden Makara - Gloucester, Ontario (FR-F)"
19,"James Martello","SO","F","Rumson, New Jersey","Colorado College","rumson new jersey","Colorado College: 19 James Martello - Rumson, New Jersey (SO-F)"
20,"Alex Pernitsky","FR","D","Unity, Saskatchewan","Colorado College","unity saskatchewan","Colorado College: 20 Alex Pernitsky - Unity, Saskatchewan (FR-D)"
22,"Cole Josefchak","FR","D","Calgary, Alberta","Colorado College","calgary alberta","Colorado College: 22 Cole Josefchak - Calgary, Alberta (FR-D)"
23,"Matt Hansen","SR","F","St. Cloud, Minnesota","Colorado College","st cloud minnesota","Colorado College: 23 Matt Hansen - St. Cloud, Minnesota (SR-F)"
24,"Kade Kehoe","FR","F","Saskatoon, Saskatchewan","Colorado College","saskatoon saskatchewan","Colorado College: 24 Kade Kehoe - Saskatoon, Saskatchewan (FR-F)"
25,"Alex Berardinelli","FR","F","Pittsburgh, Pennsylvania","Colorado College","pittsburgh pennsylvania","Colorado College: 25 Alex Berardinelli - Pittsburgh, Pennsylvania (FR-F)"
26,"Max St. Pierre","FR","F","Orleans, Ontario","Colorado College","orleans ontario","Colorado College: 26 Max St. Pierre - Orleans, Ontario (FR-F)"
27,"Ben Israel","SO","D","Bloomfield Hills, Michigan","Colorado College","bloomfield hills michigan","Colorado College: 27 Ben Israel - Bloomfield Hills, Michigan (SO-D)"
28,"Alex Roos","SR","F","Prairie Grove, Illinois","Colorado College","prairie grove illinois","Colorado College: 28 Alex Roos - Prairie Grove, Illinois (SR-F)"
29,"Gregg Burmaster","SO","F","Clinton, New York","Colorado College","clinton new york","Colorado College: 29 Gregg Burmaster - Clinton, New York (SO-F)"
30,"Derek Shatzer","SR","G","Highlands Ranch, Colorado","Colorado College","highlands ranch colorado","Colorado College: 30 Derek Shatzer - Highlands Ranch, Colorado (SR-G)"
31,"Jacob Nehama","SO","G","Allen, Texas","Colorado College","allen texas","Colorado College: 31 Jacob Nehama - Allen, Texas (SO-G)"
39,"Andrew Farny","SO","D","Steamboat Springs, Colorado","Colorado College","steamboat springs colorado","Colorado College: 39 Andrew Farny - Steamboat Springs, Colorado (SO-D)"
1,"Tanner Creel","JR","G","Arlington Heights, Illinois","Connecticut","arlington heights illinois","Connecticut: 01 Tanner Creel - Arlington Heights, Illinois (JR-G)"
2,"Derek Pratt","JR","D","Mount Hermon, Massachusetts","Connecticut","mount hermon massachusetts","Connecticut: 02 Derek Pratt - Mount Hermon, Massachusetts (JR-D)"
4,"Bryan Nelson","FR","D","Upton, Massachusetts","Connecticut","upton massachusetts","Connecticut: 04 Bryan Nelson - Upton, Massachusetts (FR-D)"
5,"David Drake","JR","D","Naperville, Illinois","Connecticut","naperville illinois","Connecticut: 05 David Drake - Naperville, Illinois (JR-D)"
6,"Johnny Austin","JR","D","St. Louis Park, Minnesota","Connecticut","st louis park minnesota","Connecticut: 06 Johnny Austin - St. Louis Park, Minnesota (JR-D)"
7,"Joona Kunnas","SR","D","Vantaa, Finland","Connecticut","vantaa finland","Connecticut: 07 Joona Kunnas - Vantaa, Finland (SR-D)"
8,"Spencer Naas","JR","F","Minnetonka, Minnesota","Connecticut","minnetonka minnesota","Connecticut: 08 Spencer Naas - Minnetonka, Minnesota (JR-F)"
9,"Alexander Payusov","FR","F","Montr<U+FFFD>al, Quebec","Connecticut","montr<U+FFFD>al quebec","Connecticut: 09 Alexander Payusov - Montr<U+FFFD>al, Quebec (FR-F)"
10,"Miles Gendron","SO","D","Shrewsbury, Massachusetts","Connecticut","shrewsbury massachusetts","Connecticut: 10 Miles Gendron - Shrewsbury, Massachusetts (SO-D)"
11,"Corey Ronan","JR","F","Franklin, Massachusetts","Connecticut","franklin massachusetts","Connecticut: 11 Corey Ronan - Franklin, Massachusetts (JR-F)"
13,"Joseph Masonius","SO","D","Spring Lake, New Jersey","Connecticut","spring lake new jersey","Connecticut: 13 Joseph Masonius - Spring Lake, New Jersey (SO-D)"
16,"Karl El-Mir","SO","F","Montreal, Quebec","Connecticut","montreal quebec","Connecticut: 16 Karl El-Mir - Montreal, Quebec (SO-F)"
17,"Jesse Schwartz","JR","F","Toronto, Ontario","Connecticut","toronto ontario","Connecticut: 17 Jesse Schwartz - Toronto, Ontario (JR-F)"
18,"Max Kalter","SO","F","Highland Park, Illinois","Connecticut","highland park illinois","Connecticut: 18 Max Kalter - Highland Park, Illinois (SO-F)"
19,"Evan Richardson","SR","F","Nanaimo, British Columbia","Connecticut","nanaimo british columbia","Connecticut: 19 Evan Richardson - Nanaimo, British Columbia (SR-F)"
20,"Wyatt Newpower","FR","D","Hugo, Minnesota","Connecticut","hugo minnesota","Connecticut: 20 Wyatt Newpower - Hugo, Minnesota (FR-D)"
21,"Jeff Wight","JR","F","Coquitlam, British Columbia","Connecticut","coquitlam british columbia","Connecticut: 21 Jeff Wight - Coquitlam, British Columbia (JR-F)"
22,"Justin Howell","FR","F","Saint Paul, Minnesota","Connecticut","saint paul minnesota","Connecticut: 22 Justin Howell - Saint Paul, Minnesota (FR-F)"
23,"Kasperi Ojantakanen","JR","F","Helsinki, Finland","Connecticut","helsinki finland","Connecticut: 23 Kasperi Ojantakanen - Helsinki, Finland (JR-F)"
24,"Benjamin Freeman","FR","F","Falmouth, Maine","Connecticut","falmouth maine","Connecticut: 24 Benjamin Freeman - Falmouth, Maine (FR-F)"
26,"Philip Nyberg","FR","D","Linkoping, Sweden","Connecticut","linkoping sweden","Connecticut: 26 Philip Nyberg - Linkoping, Sweden (FR-D)"
27,"Maxim Letunov","SO","F","Moscow, Russia","Connecticut","moscow russia","Connecticut: 27 Maxim Letunov - Moscow, Russia (SO-F)"
28,"Brian Morgan","SR","F","Windham, New Hampshire","Connecticut","windham new hampshire","Connecticut: 28 Brian Morgan - Windham, New Hampshire (SR-F)"
29,"Tage Thompson","SO","F","Orange, Connecticut","Connecticut","orange connecticut","Connecticut: 29 Tage Thompson - Orange, Connecticut (SO-F)"
30,"Adam Huska","FR","G","Zvolen, Slovakia","Connecticut","zvolen slovakia","Connecticut: 30 Adam Huska - Zvolen, Slovakia (FR-G)"
31,"Rob Nichols","SR","G","Dallas, Texas","Connecticut","dallas texas","Connecticut: 31 Rob Nichols - Dallas, Texas (SR-G)"
35,"Steve Thulin","JR","G","North Reading, Massachusetts","Connecticut","north reading massachusetts","Connecticut: 35 Steve Thulin - North Reading, Massachusetts (JR-G)"
2,"Brendan Smith","SO","D","Centennial, Colorado","Cornell","centennial colorado","Cornell: 02 Brendan Smith - Centennial, Colorado (SO-D)"
4,"Alex Rauter","JR","F","Chatham, New Jersey","Cornell","chatham new jersey","Cornell: 04 Alex Rauter - Chatham, New Jersey (JR-F)"
5,"Matthew Nuttle","SO","D","Marilla, New York","Cornell","marilla new york","Cornell: 05 Matthew Nuttle - Marilla, New York (SO-D)"
6,"Holden Anderson","SR","D","Montr<U+FFFD>al, Quebec","Cornell","montr<U+FFFD>al quebec","Cornell: 06 Holden Anderson - Montr<U+FFFD>al, Quebec (SR-D)"
7,"Jake Weidner","SR","F","Grand Valley, Ontario","Cornell","grand valley ontario","Cornell: 07 Jake Weidner - Grand Valley, Ontario (SR-F)"
8,"Yanni Kaldis","FR","D","Montreal, Quebec","Cornell","montreal quebec","Cornell: 08 Yanni Kaldis - Montreal, Quebec (FR-D)"
9,"Noah Bauld","FR","F","Halifax, Nova Scotia","Cornell","halifax nova scotia","Cornell: 09 Noah Bauld - Halifax, Nova Scotia (FR-F)"
10,"Beau Starrett","SO","F","Bellingham, Massachusetts","Cornell","bellingham massachusetts","Cornell: 10 Beau Starrett - Bellingham, Massachusetts (SO-F)"
11,"Eric Freschi","SR","F","Bloomington, Minnesota","Cornell","bloomington minnesota","Cornell: 11 Eric Freschi - Bloomington, Minnesota (SR-F)"
12,"Connor Murphy","FR","F","Ancaster, Ontario","Cornell","ancaster ontario","Cornell: 12 Connor Murphy - Ancaster, Ontario (FR-F)"
14,"Mitch Vanderlaan","SO","F","Hanwell, New Brunswick","Cornell","hanwell new brunswick","Cornell: 14 Mitch Vanderlaan - Hanwell, New Brunswick (SO-F)"
15,"Trevor Yates","JR","F","Beaconsfield, Quebec","Cornell","beaconsfield quebec","Cornell: 15 Trevor Yates - Beaconsfield, Quebec (JR-F)"
16,"Matt Buckles","SR","F","Toronto, Ontario","Cornell","toronto ontario","Cornell: 16 Matt Buckles - Toronto, Ontario (SR-F)"
17,"Anthony Angello","SO","F","Manlius, New York","Cornell","manlius new york","Cornell: 17 Anthony Angello - Manlius, New York (SO-F)"
18,"Jared Fiegl","JR","F","Parker, Colorado","Cornell","parker colorado","Cornell: 18 Jared Fiegl - Parker, Colorado (JR-F)"
19,"Corey Hoffman","FR","F","Plainview, New York","Cornell","plainview new york","Cornell: 19 Corey Hoffman - Plainview, New York (FR-F)"
20,"Dan Wedman","JR","D","Edmonton, Alberta","Cornell","edmonton alberta","Cornell: 20 Dan Wedman - Edmonton, Alberta (JR-D)"
21,"Dwyer Tschantz","JR","F","Wilmington, Delaware","Cornell","wilmington delaware","Cornell: 21 Dwyer Tschantz - Wilmington, Delaware (JR-F)"
22,"Jeff Malott","FR","F","Burlington, Ontario","Cornell","burlington ontario","Cornell: 22 Jeff Malott - Burlington, Ontario (FR-F)"
23,"Trent Shore","SO","D","Ajax, Ontario","Cornell","ajax ontario","Cornell: 23 Trent Shore - Ajax, Ontario (SO-D)"
24,"Ryan Bliss","JR","D","Chelmsford, Massachusetts","Cornell","chelmsford massachusetts","Cornell: 24 Ryan Bliss - Chelmsford, Massachusetts (JR-D)"
26,"Jeff Kubiak","SR","F","Tinley Park, Illinois","Cornell","tinley park illinois","Cornell: 26 Jeff Kubiak - Tinley Park, Illinois (SR-F)"
27,"Patrick McCarron","SR","D","Toronto, Ontario","Cornell","toronto ontario","Cornell: 27 Patrick McCarron - Toronto, Ontario (SR-D)"
28,"Luc Lalor","SO","F","St. Albert, Alberta","Cornell","st albert alberta","Cornell: 28 Luc Lalor - St. Albert, Alberta (SO-F)"
29,"Alec McCrea","SO","D","El Cajon, California","Cornell","el cajon california","Cornell: 29 Alec McCrea - El Cajon, California (SO-D)"
30,"Ryan Coon","SR","G","Wildwood, Missouri","Cornell","wildwood missouri","Cornell: 30 Ryan Coon - Wildwood, Missouri (SR-G)"
31,"Hayden Stewart","JR","G","Rockford, Illinois","Cornell","rockford illinois","Cornell: 31 Hayden Stewart - Rockford, Illinois (JR-G)"
32,"Mitch Gillam","SR","G","Peterborough, Ontario","Cornell","peterborough ontario","Cornell: 32 Mitch Gillam - Peterborough, Ontario (SR-G)"
2,"River Rymsha","JR","D","Huntington Woods, Michigan","Dartmouth","huntington woods michigan","Dartmouth: 02 River Rymsha - Huntington Woods, Michigan (JR-D)"
3,"Josh Hartley","SR","D","Coquitlam, British Columbia","Dartmouth","coquitlam british columbia","Dartmouth: 03 Josh Hartley - Coquitlam, British Columbia (SR-D)"
4,"Ben DiMaio","FR","D","Pembroke, Massachusetts","Dartmouth","pembroke massachusetts","Dartmouth: 04 Ben DiMaio - Pembroke, Massachusetts (FR-D)"
5,"Tim Shoup","JR","D","Upper Saint Clair, Pennsylvania","Dartmouth","upper saint clair pennsylvania","Dartmouth: 05 Tim Shoup - Upper Saint Clair, Pennsylvania (JR-D)"
6,"Connor Yau","SO","D","Algonquin, Illinois","Dartmouth","algonquin illinois","Dartmouth: 06 Connor Yau - Algonquin, Illinois (SO-D)"
7,"Cameron Roth","SO","D","Nepean, Ontario","Dartmouth","nepean ontario","Dartmouth: 07 Cameron Roth - Nepean, Ontario (SO-D)"
8,"Daniel Warpecha","FR","F","Willow Springs, Illinois","Dartmouth","willow springs illinois","Dartmouth: 08 Daniel Warpecha - Willow Springs, Illinois (FR-F)"
9,"Troy Crema","SR","F","Toronto, Ontario","Dartmouth","toronto ontario","Dartmouth: 09 Troy Crema - Toronto, Ontario (SR-F)"
10,"Shane Sellar","FR","F","Carlisle, Pennsylvania","Dartmouth","carlisle pennsylvania","Dartmouth: 10 Shane Sellar - Carlisle, Pennsylvania (FR-F)"
11,"Alex Jasiek","SO","F","St. Louis, Missouri","Dartmouth","st louis missouri","Dartmouth: 11 Alex Jasiek - St. Louis, Missouri (SO-F)"
12,"Cam Strong","FR","F","Billings, Montana","Dartmouth","billings montana","Dartmouth: 12 Cam Strong - Billings, Montana (FR-F)"
14,"Grant Opperman","SR","F","Wayzata, Minnesota","Dartmouth","wayzata minnesota","Dartmouth: 14 Grant Opperman - Wayzata, Minnesota (SR-F)"
15,"Charley Michalowski","FR","F","West Roxbury, Massachusetts","Dartmouth","west roxbury massachusetts","Dartmouth: 15 Charley Michalowski - West Roxbury, Massachusetts (FR-F)"
16,"Kevan Kilistoff","SO","F","Langley, British Columbia","Dartmouth","langley british columbia","Dartmouth: 16 Kevan Kilistoff - Langley, British Columbia (SO-F)"
18,"Corey Kalk","JR","F","Thornhill, Ontario","Dartmouth","thornhill ontario","Dartmouth: 18 Corey Kalk - Thornhill, Ontario (JR-F)"
19,"John Ernsting","SO","F","Naperville, Illinois","Dartmouth","naperville illinois","Dartmouth: 19 John Ernsting - Naperville, Illinois (SO-F)"
20,"Carl Hesler","JR","F","Boxborough, Massachusetts","Dartmouth","boxborough massachusetts","Dartmouth: 20 Carl Hesler - Boxborough, Massachusetts (JR-F)"
21,"Kevin Neiley","JR","F","Warminster, Pennsylvania","Dartmouth","warminster pennsylvania","Dartmouth: 21 Kevin Neiley - Warminster, Pennsylvania (JR-F)"
22,"Jamie McLaughlin","FR","F","Toronto, Ontario","Dartmouth","toronto ontario","Dartmouth: 22 Jamie McLaughlin - Toronto, Ontario (FR-F)"
23,"Clay Han","FR","D","Liberty Township, Ohio","Dartmouth","liberty township ohio","Dartmouth: 23 Clay Han - Liberty Township, Ohio (FR-D)"
24,"Karan Toor","SO","D","Surrey, British Columbia","Dartmouth","surrey british columbia","Dartmouth: 24 Karan Toor - Surrey, British Columbia (SO-D)"
25,"Ryan Blankemeier","FR","F","Oak Park, Illinois","Dartmouth","oak park illinois","Dartmouth: 25 Ryan Blankemeier - Oak Park, Illinois (FR-F)"
28,"Will Graber","FR","F","Broomfield, Colorado","Dartmouth","broomfield colorado","Dartmouth: 28 Will Graber - Broomfield, Colorado (FR-F)"
