"Method","RPI"
"Tiers",0.561622752418232
"Tiers",0.607576044018301
"Tiers",0.582311178395019
"Tiers",0.583481822409655
"Tiers",0.583132875763056
"Tiers",0.584086433227137
"Tiers",0.565957120589514
"Tiers",0.546731283324585
"Tiers",0.598904005901082
"Tiers",0.590518669661223
