"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"North Dakota",19,5,8,11,3,5,8,2,3,0,0,0,0.71875,0.70253164556962,0.48991302737347,0.505719467486125,0.501293664254582,0.551603159583341
"Union",22,9,4,9,5,1,11,4,3,2,0,0,0.685714285714286,0.691011235955056,0.49377432713458,0.508158951253262,0.504131256500031,0.550851251363787
"Northeastern",18,7,5,11,3,3,6,4,2,1,0,0,0.683333333333333,0.673611111111111,0.500066425910825,0.50623720614782,0.504509387681461,0.546784818538874
"Harvard",14,8,5,6,2,3,8,5,2,0,1,0,0.611111111111111,0.626865671641791,0.519726119996642,0.509381859019657,0.512278252093213,0.540925106980357
"Lake Superior",17,7,5,12,0,1,4,7,4,1,0,0,0.672413793103448,0.7,0.480300511988012,0.488635913204093,0.48630200086359,0.539726500647693
"Wisconsin",17,9,9,7,6,6,9,3,2,1,0,1,0.614285714285714,0.597222222222222,0.531187996031746,0.514710924684684,0.519324504661862,0.538798934051952
"Connecticut",19,10,3,9,5,2,10,5,1,0,0,0,0.640625,0.639751552795031,0.482368711576652,0.509812516947024,0.50212825144332,0.536534076781248
"Providence",16,9,5,8,2,3,6,7,2,2,0,0,0.616666666666667,0.629370629370629,0.485662653505395,0.512481461561534,0.504972195305815,0.536071803822019
"Clarkson",16,10,6,9,4,2,6,6,4,1,0,0,0.59375,0.6,0.539375238771485,0.499652183031433,0.510774638638648,0.533080978978986
"Vermont",16,10,5,9,4,2,7,6,3,0,0,0,0.596774193548387,0.602649006622517,0.517504728103777,0.505910190275624,0.509156660867507,0.532529747306259
"New Hampshire",16,9,6,10,2,4,6,6,2,0,1,0,0.612903225806452,0.612244897959184,0.495670157843217,0.504493796594666,0.50202317774426,0.529578607797991
"Canisius",19,10,5,8,5,3,11,5,2,0,0,0,0.632352941176471,0.635838150289017,0.481913879268117,0.496102144047563,0.492129429909318,0.528056610004243
"Western Michigan",17,7,6,10,2,5,7,5,1,0,0,0,0.666666666666667,0.659722222222222,0.425193484177859,0.506537790367399,0.483761384634328,0.527751594031302
"Boston College",14,10,5,8,6,0,6,3,4,0,1,1,0.568965517241379,0.565068493150685,0.535722155560162,0.500914652537681,0.510660753383976,0.524262688325653
"Air Force",20,10,6,6,9,2,14,1,4,0,0,0,0.638888888888889,0.63265306122449,0.453411621905757,0.49768556084879,0.485288857944741,0.522129908764678
